Stage,Date Start,Date End,Competition,Year
Preliminary Round 2,2015-06-07,2015-06-16,"World Cup Qualifiers, CONCACAF",2015
Preliminary Round 3,2015-08-31,2015-09-08,"World Cup Qualifiers, CONCACAF",2015
Group Stage,2015-11-13,2016-09-06,"World Cup Qualifiers, CONCACAF",2015
Round 4,2016-11-11,2017-10-10,"World Cup Qualifiers, CONCACAF",2016
Preliminary Round 1,2021-03-24,2021-03-30,"World Cup Qualifiers, CONCACAF",2021
Preliminary Round 2,2021-06-12,2021-06-15,"World Cup Qualifiers, CONCACAF",2021
Group Stage,2021-09-02,2022-03-30,"World Cup Qualifiers, CONCACAF",2021
Round 3,2022-06-04,2022-06-08,"World Cup Qualifiers, CONCACAF",2022
Group Stage,2011-10-07,2013-10-15,"World Cup Qualifiers, CONMEBOL",2011
Group Stage,2015-10-08,2017-10-10,"World Cup Qualifiers, CONMEBOL",2015
Group Stage,2020-10-08,2022-03-29,"World Cup Qualifiers, CONMEBOL",2020
Group Stage,2012-09-07,2013-10-15,"World Cup Qualifiers, Europe",2012
Group Stage,2016-09-04,2017-10-10,"World Cup Qualifiers, Europe",2016
Group Stage,2021-03-24,2021-11-16,"World Cup Qualifiers, Europe",2021
Playoff Round,2013-11-13,2013-11-20,World Cup Intercontinental Playoff,2013
Playoff Round,2017-11-11,2017-11-15,World Cup Intercontinental Playoff,2017
Playoff Round,2022-06-13,2022-06-14,World Cup Intercontinental Playoff,2022
Group Stage,2014-06-12,2014-06-26,World Cup,2014
Round of 16,2014-06-28,2014-07-01,World Cup,2014
Quarter-Finals,2014-07-04,2014-07-05,World Cup,2014
Semi-Finals,2014-07-08,2014-07-09,World Cup,2014
Final,2014-07-13,2014-07-13,World Cup,2014
Group Stage,2018-06-14,2018-06-28,World Cup,2018
Round of 16,2018-06-30,2018-07-03,World Cup,2018
Quarter-Finals,2018-07-06,2018-07-07,World Cup,2018
Semi-Finals,2018-07-10,2018-07-11,World Cup,2018
Final,2018-07-15,2018-07-15,World Cup,2018
Group Stage,2022-11-20,2022-12-02,World Cup,2022
Round of 16,2022-12-03,2022-12-06,World Cup,2022
Quarter-Finals,2022-12-09,2022-12-10,World Cup,2022
Semi-Finals,2022-12-13,2022-12-14,World Cup,2022
Final,2022-12-18,2022-12-18,World Cup,2022
Qualifying Round,2010-08-11,2011-11-15,"Euros, Qualifiers",2010
Qualifying Round,2014-09-07,2015-10-13,"Euros, Qualifiers",2014
Qualifying Round,2019-03-21,2019-11-19,"Euros, Qualifiers",2019
Group Stage,2012-06-08,2012-06-18,Euros,2012
Quarter-Finals,2012-06-21,2012-06-24,Euros,2012
Semi-Finals,2012-06-27,2012-06-28,Euros,2012
Final,2012-07-01,2012-07-01,Euros,2012
Group Stage,2016-06-10,2016-06-22,Euros,2016
Round of 16,2016-06-25,2016-06-27,Euros,2016
Quarter-Finals,2016-06-30,2016-07-03,Euros,2016
Semi-Finals,2016-07-06,2016-07-07,Euros,2016
Final,2016-07-10,2016-07-10,Euros,2016
Group Stage,2021-06-11,2021-06-23,Euros,2021
Round of 16,2021-06-26,2021-06-29,Euros,2021
Quarter-Finals,2021-07-02,2021-07-03,Euros,2021
Semi-Finals,2021-07-06,2021-07-07,Euros,2021
Final,2021-07-11,2021-07-11,Euros,2021
Group Stage,2011-07-01,2011-07-13,Copa America,2011
Quarter-Finals,2011-07-16,2011-07-17,Copa America,2011
Semi-Finals,2011-07-19,2011-07-20,Copa America,2011
Final,2011-07-24,2011-07-24,Copa America,2011
Group Stage,2015-06-11,2015-06-21,Copa America,2015
Quarter-Finals,2015-06-24,2015-06-27,Copa America,2015
Semi-Finals,2015-06-29,2015-06-30,Copa America,2015
Final,2015-07-04,2015-07-04,Copa America,2015
Group Stage,2016-06-03,2016-06-14,Copa America,2016
Quarter-Finals,2016-06-16,2016-06-18,Copa America,2016
Semi-Finals,2016-06-21,2016-06-22,Copa America,2016
Final,2016-06-26,2016-06-26,Copa America,2016
Group Stage,2019-06-14,2019-06-24,Copa America,2019
Quarter-Finals,2019-06-27,2019-06-29,Copa America,2019
Semi-Finals,2019-07-02,2019-07-03,Copa America,2019
Final,2019-07-07,2019-07-07,Copa America,2019
Group Stage,2021-06-13,2021-06-27,Copa America,2021
Quarter-Finals,2021-07-02,2021-07-03,Copa America,2021
Semi-Finals,2021-07-05,2021-07-06,Copa America,2021
Final,2021-07-10,2021-07-10,Copa America,2021
Group Stage,2012-07-26,2012-08-01,Olympics,2012
Quarter-Finals,2012-08-04,2012-08-04,Olympics,2012
Semi-Finals,2012-08-07,2012-08-07,Olympics,2012
Final,2012-08-11,2012-08-11,Olympics,2012
Group Stage,2016-08-03,2016-08-10,Olympics,2016
Quarter-Finals,2016-08-12,2016-08-12,Olympics,2016
Semi-Finals,2016-08-16,2016-08-16,Olympics,2016
Final,2016-08-20,2016-08-20,Olympics,2016
Group Stage,2021-07-22,2021-07-28,Olympics,2021
Quarter-Finals,2021-07-31,2021-07-31,Olympics,2021
Semi-Finals,2021-08-03,2021-08-03,Olympics,2021
Final,2021-08-07,2021-08-07,Olympics,2021
League Phase,2018-09-06,2018-11-20,Nations League,2018
Finals,2019-06-05,2019-06-09,Nations League,2019
League Phase,2020-09-03,2020-11-18,Nations League,2020
Finals,2021-10-06,2021-10-10,Nations League,2021
Group Stage,2011-06-05,2011-06-13,Gold Cup,2011
Quarter-Finals,2011-06-18,2011-06-19,Gold Cup,2011
Semi-Finals,2011-06-22,2011-06-22,Gold Cup,2011
Final,2011-06-25,2011-06-25,Gold Cup,2011
Group Stage,2013-07-07,2013-07-16,Gold Cup,2013
Quarter-Finals,2013-07-20,2013-07-21,Gold Cup,2013
Semi-Finals,2013-07-24,2013-07-24,Gold Cup,2013
Final,2013-07-28,2013-07-28,Gold Cup,2013
Group Stage,2015-07-07,2015-07-15,Gold Cup,2015
Quarter-Finals,2015-07-18,2015-07-19,Gold Cup,2015
Semi-Finals,2015-07-22,2015-07-22,Gold Cup,2015
Final,2015-07-26,2015-07-26,Gold Cup,2015
Group Stage,2017-07-07,2017-07-17,Gold Cup,2017
Quarter-Finals,2017-07-19,2017-07-20,Gold Cup,2017
Semi-Finals,2017-07-22,2017-07-23,Gold Cup,2017
Final,2017-07-26,2017-07-26,Gold Cup,2017
Group Stage,2019-06-15,2019-06-26,Gold Cup,2019
Quarter-Finals,2019-06-29,2019-06-30,Gold Cup,2019
Semi-Finals,2019-07-02,2019-07-03,Gold Cup,2019
Final,2019-07-07,2019-07-07,Gold Cup,2019
Group Stage,2021-07-10,2021-07-20,Gold Cup,2021
Quarter-Finals,2021-07-24,2021-07-25,Gold Cup,2021
Semi-Finals,2021-07-29,2021-07-29,Gold Cup,2021
Final,2021-08-01,2021-08-01,Gold Cup,2021
Qualifying Round,2010-07-01,2011-10-09,"Africa Cup of Nations, Qualifiers",2010
Qualifying Round,2012-01-01,2012-10-14,"Africa Cup of Nations, Qualifiers",2012
Qualifying Round,2014-04-12,2014-11-19,"Africa Cup of Nations, Qualifiers",2014
Qualifying Round,2015-06-12,2016-09-04,"Africa Cup of Nations, Qualifiers",2015
Qualifying Round,2017-03-22,2019-03-24,"Africa Cup of Nations, Qualifiers",2017
Qualifying Round,2019-10-09,2021-03-30,"Africa Cup of Nations, Qualifiers",2019
Group Stage,2012-01-21,2012-01-31,Africa Cup of Nations,2012
Quarter-Finals,2012-02-04,2012-02-05,Africa Cup of Nations,2012
Semi-Finals,2012-02-08,2012-02-08,Africa Cup of Nations,2012
Final,2012-02-12,2012-02-12,Africa Cup of Nations,2012
Group Stage,2013-01-19,2013-01-29,Africa Cup of Nations,2013
Quarter-Finals,2013-02-02,2013-02-03,Africa Cup of Nations,2013
Semi-Finals,2013-02-06,2013-02-06,Africa Cup of Nations,2013
Final,2013-02-10,2013-02-10,Africa Cup of Nations,2013
Group Stage,2015-01-17,2015-01-28,Africa Cup of Nations,2015
Quarter-Finals,2015-01-31,2015-02-01,Africa Cup of Nations,2015
Semi-Finals,2015-02-04,2015-02-04,Africa Cup of Nations,2015
Final,2015-02-08,2015-02-08,Africa Cup of Nations,2015
Group Stage,2017-01-14,2017-01-25,Africa Cup of Nations,2017
Quarter-Finals,2017-01-28,2017-01-29,Africa Cup of Nations,2017
Semi-Finals,2017-02-02,2017-02-02,Africa Cup of Nations,2017
Final,2017-02-05,2017-02-05,Africa Cup of Nations,2017
Group Stage,2019-06-21,2019-07-02,Africa Cup of Nations,2019
Quarter-Finals,2019-07-10,2019-07-11,Africa Cup of Nations,2019
Semi-Finals,2019-07-14,2019-07-14,Africa Cup of Nations,2019
Final,2019-07-19,2019-07-19,Africa Cup of Nations,2019
Group Stage,2022-01-09,2022-01-20,Africa Cup of Nations,2022
Quarter-Finals,2022-01-29,2022-01-30,Africa Cup of Nations,2022
Semi-Finals,2022-02-02,2022-02-02,Africa Cup of Nations,2022
Final,2022-02-06,2022-02-06,Africa Cup of Nations,2022
