Name,Age (that year),Nationality,Position,Market Value,Season,League,Team
Hélder Costa,"Jan 12, 1994 (20)","Angola""",Right Winger,€800k,2013,Portuguese First Division,Benfica
Harramiz,"Aug 3, 1990 (23)",Sao Tome and Principe,Right Winger,€500k,2013,Portuguese First Division,Benfica
Óscar Cardozo,"May 20, 1983 (31)","Paraguay""",Centre-Forward,€14.00m,2013,Portuguese First Division,Benfica
Lima,"May 11, 1983 (31)","Brazil""",Centre-Forward,€12.00m,2013,Portuguese First Division,Benfica
Rodrigo,"Mar 6, 1991 (23)","Spain""",Centre-Forward,€12.00m,2013,Portuguese First Division,Benfica
Rogelio Funes Mori,"Mar 5, 1991 (23)","Mexico""",Centre-Forward,€2.00m,2013,Portuguese First Division,Benfica
Rui Fonte,"Apr 23, 1990 (24)",Portugal,Centre-Forward,€1.00m,2013,Portuguese First Division,Benfica
Lolo Plá,"Apr 7, 1993 (21)",Spain,Centre-Forward,€800k,2013,Portuguese First Division,Benfica
Rui Patrício,"Feb 15, 1988 (26)",Portugal,Goalkeeper,€20.00m,2013,Portuguese First Division,Sporting CP
Marcelo Boeck,"Nov 28, 1984 (29)","Brazil""",Goalkeeper,€1.80m,2013,Portuguese First Division,Sporting CP
Marcos Rojo,"Mar 20, 1990 (24)",Argentina,Centre-Back,€5.50m,2013,Portuguese First Division,Sporting CP
Eric Dier,"Jan 15, 1994 (20)","England""",Centre-Back,€4.50m,2013,Portuguese First Division,Sporting CP
Maurício,"Sep 20, 1988 (25)",Brazil,Centre-Back,€3.00m,2013,Portuguese First Division,Sporting CP
Rúben Semedo,"Apr 4, 1994 (20)","Portugal""",Centre-Back,€1.00m,2013,Portuguese First Division,Sporting CP
Jefferson,"Jul 5, 1988 (25)","Brazil""",Left-Back,€4.50m,2013,Portuguese First Division,Sporting CP
Cédric Soares,"Aug 31, 1991 (22)","Portugal""",Right-Back,€6.00m,2013,Portuguese First Division,Sporting CP
Iván Piris,"Mar 10, 1989 (25)","Paraguay""",Right-Back,€2.50m,2013,Portuguese First Division,Sporting CP
Ricardo Esgaio,"May 16, 1993 (21)",Portugal,Right-Back,€2.00m,2013,Portuguese First Division,Sporting CP
Weldinho,"Jan 16, 1991 (23)",Brazil,Right-Back,€500k,2013,Portuguese First Division,Sporting CP
William Carvalho,"Apr 7, 1992 (22)","Portugal""",Defensive Midfield,€8.00m,2013,Portuguese First Division,Sporting CP
Fabián Rinaudo,"May 8, 1987 (27)","Argentina""",Defensive Midfield,€6.00m,2013,Portuguese First Division,Sporting CP
Wallyson,"Feb 16, 1994 (20)",Brazil,Defensive Midfield,€600k,2013,Portuguese First Division,Sporting CP
Adrien Silva,"Mar 15, 1989 (25)","Portugal""",Central Midfield,€7.50m,2013,Portuguese First Division,Sporting CP
André Martins,"Jan 21, 1990 (24)",Portugal,Central Midfield,€7.00m,2013,Portuguese First Division,Sporting CP
André Carrillo,"Jun 14, 1991 (23)","Peru""",Attacking Midfield,€5.00m,2013,Portuguese First Division,Sporting CP
Vítor Silva,"Jan 7, 1984 (30)",Portugal,Attacking Midfield,€3.00m,2013,Portuguese First Division,Sporting CP
Filipe Chaby,"Jan 22, 1994 (20)","Portugal""",Attacking Midfield,€800k,2013,Portuguese First Division,Sporting CP
Gerson Magrão,"Jun 13, 1985 (29)",Brazil,Attacking Midfield,€500k,2013,Portuguese First Division,Sporting CP
Diego Capel,"Feb 16, 1988 (26)",Spain,Left Winger,€6.50m,2013,Portuguese First Division,Sporting CP
Wilson Eduardo,"Jul 8, 1990 (23)","Angola""",Left Winger,€4.50m,2013,Portuguese First Division,Sporting CP
Héldon,"Nov 14, 1988 (25)",Cape Verde,Left Winger,€3.00m,2013,Portuguese First Division,Sporting CP
Carlos Mané,"Mar 11, 1994 (20)","Guinea-Bissau""",Left Winger,€1.20m,2013,Portuguese First Division,Sporting CP
Ousmane Dramé,"Aug 25, 1992 (21)","France""",Left Winger,€200k,2013,Portuguese First Division,Sporting CP
Shikabala,"Mar 5, 1986 (28)",Egypt,Right Winger,€1.50m,2013,Portuguese First Division,Sporting CP
Diogo Salomão,"Sep 14, 1988 (25)","Portugal""",Right Winger,€1.00m,2013,Portuguese First Division,Sporting CP
Fredy Montero,"Jul 26, 1987 (26)",Colombia,Centre-Forward,€10.00m,2013,Portuguese First Division,Sporting CP
Islam Slimani,"Jun 18, 1988 (26)",Algeria,Centre-Forward,€2.00m,2013,Portuguese First Division,Sporting CP
Salim Cissé,"Dec 24, 1992 (21)","Guinea""",Centre-Forward,€2.00m,2013,Portuguese First Division,Sporting CP
Helton,"May 18, 1978 (36)","Brazil""",Goalkeeper,€3.00m,2013,Portuguese First Division,Porto
Fabiano,"Feb 29, 1988 (26)","Brazil""",Goalkeeper,€2.80m,2013,Portuguese First Division,Porto
Sinan Bolat,"Sep 3, 1988 (25)","Turkey""",Goalkeeper,€1.00m,2013,Portuguese First Division,Porto
Kadú,"Nov 30, 1994 (19)",Angola,Goalkeeper,€900k,2013,Portuguese First Division,Porto
Eliaquim Mangala,"Feb 13, 1991 (23)","France""",Centre-Back,€23.00m,2013,Portuguese First Division,Porto
Nicolás Otamendi,"Feb 12, 1988 (26)",Argentina,Centre-Back,€12.00m,2013,Portuguese First Division,Porto
Danilo,"Jul 15, 1991 (22)",Brazil,Centre-Back,€11.50m,2013,Portuguese First Division,Porto
Maicon,"Sep 14, 1988 (25)","Brazil""",Centre-Back,€9.00m,2013,Portuguese First Division,Porto
Diego Reyes,"Sep 19, 1992 (21)",Mexico,Centre-Back,€7.00m,2013,Portuguese First Division,Porto
Abdoulaye Ba,"Jan 1, 1991 (23)","Senegal""",Centre-Back,€3.00m,2013,Portuguese First Division,Porto
Alex Sandro,"Jan 26, 1991 (23)",Brazil,Left-Back,€16.00m,2013,Portuguese First Division,Porto
Joris Kayembe,"Aug 8, 1994 (19)",DR Congo,Left-Back,€500k,2013,Portuguese First Division,Porto
Ricardo Pereira,"Oct 6, 1993 (20)","Portugal""",Right-Back,€2.50m,2013,Portuguese First Division,Porto
Jorge Fucile,"Nov 19, 1984 (29)","Uruguay""",Right-Back,€1.50m,2013,Portuguese First Division,Porto
Víctor García,"Jun 11, 1994 (20)","Venezuela""",Right-Back,€1.00m,2013,Portuguese First Division,Porto
Fernando,"Jul 25, 1987 (26)","Brazil""",Defensive Midfield,€17.50m,2013,Portuguese First Division,Porto
Steven Defour,"Apr 15, 1988 (26)",Belgium,Defensive Midfield,€7.00m,2013,Portuguese First Division,Porto
Mikel Agu,"May 27, 1993 (21)",Nigeria,Defensive Midfield,€1.50m,2013,Portuguese First Division,Porto
Héctor Herrera,"Apr 19, 1990 (24)","Mexico""",Central Midfield,€7.00m,2013,Portuguese First Division,Porto
Lucho González,"Jan 19, 1981 (33)",Argentina,Central Midfield,€5.00m,2013,Portuguese First Division,Porto
Juan Fernando Quintero,"Jan 18, 1993 (21)",Colombia,Attacking Midfield,€9.00m,2013,Portuguese First Division,Porto
Josué,"Sep 17, 1990 (23)",Portugal,Attacking Midfield,€6.00m,2013,Portuguese First Division,Porto
Eduardo,"Oct 17, 1989 (24)",Brazil,Attacking Midfield,€4.00m,2013,Portuguese First Division,Porto
Marat Izmailov,"Sep 21, 1982 (31)",Russia,Attacking Midfield,€2.00m,2013,Portuguese First Division,Porto
Tozé,"Jan 14, 1993 (21)",Portugal,Attacking Midfield,€2.00m,2013,Portuguese First Division,Porto
Juan Iturbe,"Jun 4, 1993 (21)","Paraguay""",Left Winger,€10.00m,2013,Portuguese First Division,Porto
Varela,"Feb 2, 1985 (29)","Portugal""",Left Winger,€7.50m,2013,Portuguese First Division,Porto
Licá,"Sep 8, 1988 (25)",Portugal,Left Winger,€5.00m,2013,Portuguese First Division,Porto
Kelvin,"Jun 1, 1993 (21)",Brazil,Right Winger,€5.00m,2013,Portuguese First Division,Porto
Ricardo Quaresma,"Sep 26, 1983 (30)",Portugal,Right Winger,€1.50m,2013,Portuguese First Division,Porto
Jackson Martínez,"Oct 3, 1986 (27)",Colombia,Centre-Forward,€30.00m,2013,Portuguese First Division,Porto
Nabil Ghilas,"Apr 20, 1990 (24)","Algeria""",Centre-Forward,€3.50m,2013,Portuguese First Division,Porto
Vagner,"Jun 6, 1986 (28)",Brazil,Goalkeeper,€1.50m,2013,Portuguese First Division,Estoril
Ricardo Ribeiro,"Jan 27, 1990 (24)",Portugal,Goalkeeper,€800k,2013,Portuguese First Division,Estoril
João Manuel,"May 28, 1994 (20)",Portugal,Goalkeeper,-,2013,Portuguese First Division,Estoril
Yohan Tavares,"Mar 2, 1988 (26)","Portugal""",Centre-Back,€2.00m,2013,Portuguese First Division,Estoril
Rúben Fernandes,"May 6, 1986 (28)",Portugal,Centre-Back,€1.00m,2013,Portuguese First Division,Estoril
João Pedro,"Dec 29, 1987 (26)",Portugal,Centre-Back,€500k,2013,Portuguese First Division,Estoril
Bruno Miguel,"Sep 24, 1982 (31)",Portugal,Centre-Back,€400k,2013,Portuguese First Division,Estoril
Luís Gustavo,"Jan 7, 1992 (22)",Brazil,Centre-Back,€350k,2013,Portuguese First Division,Estoril
Tiago Gomes,"Jul 29, 1986 (27)",Portugal,Left-Back,€800k,2013,Portuguese First Division,Estoril
Emídio Rafael,"Jan 24, 1986 (28)",Portugal,Left-Back,€500k,2013,Portuguese First Division,Estoril
Ânderson Luís,"Jul 31, 1988 (25)",Brazil,Right-Back,€1.70m,2013,Portuguese First Division,Estoril
Mano,"Apr 9, 1987 (27)","Portugal""",Right-Back,€800k,2013,Portuguese First Division,Estoril
Gonçalo Santos,"Nov 15, 1986 (27)",Portugal,Defensive Midfield,€2.00m,2013,Portuguese First Division,Estoril
Filipe Gonçalves,"Aug 12, 1984 (29)",Portugal,Defensive Midfield,€1.50m,2013,Portuguese First Division,Estoril
Diogo Amado,"Jan 21, 1990 (24)",Portugal,Defensive Midfield,€1.20m,2013,Portuguese First Division,Estoril
Babanco,"Jul 27, 1985 (28)",Cape Verde,Central Midfield,€1.20m,2013,Portuguese First Division,Estoril
Gladestony,"Aug 5, 1993 (20)","Brazil""",Central Midfield,€100k,2013,Portuguese First Division,Estoril
Ricardo Vaz,"Nov 26, 1994 (19)",Portugal,Right Midfield,€100k,2013,Portuguese First Division,Estoril
Carlitos,"Sep 6, 1982 (31)",Portugal,Left Midfield,€1.00m,2013,Portuguese First Division,Estoril
Evandro,"Aug 23, 1986 (27)","Brazil""",Attacking Midfield,€3.00m,2013,Portuguese First Division,Estoril
João Coimbra,"May 24, 1986 (28)",Portugal,Attacking Midfield,€800k,2013,Portuguese First Division,Estoril
Sebá,"Jun 8, 1992 (22)",Brazil,Left Winger,€2.00m,2013,Portuguese First Division,Estoril
Gerso,"Feb 23, 1991 (23)","Guinea-Bissau""",Left Winger,€500k,2013,Portuguese First Division,Estoril
Leandro Borges,"Apr 29, 1992 (22)",Portugal,Left Winger,€150k,2013,Portuguese First Division,Estoril
Javier Balboa,"May 13, 1985 (29)",Equatorial Guinea,Right Winger,€1.70m,2013,Portuguese First Division,Estoril
Luís Leal,"May 29, 1987 (27)",Sao Tome and Principe,Centre-Forward,€2.30m,2013,Portuguese First Division,Estoril
João Pedro,"Mar 9, 1992 (22)","Italy""",Centre-Forward,€1.50m,2013,Portuguese First Division,Estoril
Bruno Lopes,"Aug 19, 1986 (27)",Brazil,Centre-Forward,€750k,2013,Portuguese First Division,Estoril
Luiz Phellype,"Sep 27, 1993 (20)",Brazil,Centre-Forward,€300k,2013,Portuguese First Division,Estoril
Rui Caniço,"Oct 18, 1995 (18)",Portugal,Centre-Forward,-,2013,Portuguese First Division,Estoril
Gottardi,"Jul 22, 1985 (28)","Brazil""",Goalkeeper,€1.50m,2013,Portuguese First Division,Nacional
Ricardo Batista,"Nov 19, 1986 (27)","Portugal""",Goalkeeper,€500k,2013,Portuguese First Division,Nacional
Rui Silva,"Feb 7, 1994 (20)",Portugal,Goalkeeper,€100k,2013,Portuguese First Division,Nacional
Mexer,"Sep 8, 1988 (25)",Mozambique,Centre-Back,€2.50m,2013,Portuguese First Division,Nacional
Miguel Rodrigues,"Mar 16, 1993 (21)",Portugal,Centre-Back,€2.00m,2013,Portuguese First Division,Nacional
Ali Ghazal,"Feb 1, 1992 (22)",Egypt,Centre-Back,€1.50m,2013,Portuguese First Division,Nacional
Zainadine,"Jun 24, 1988 (26)",Mozambique,Centre-Back,€800k,2013,Portuguese First Division,Nacional
Freire,"Aug 21, 1989 (24)",Brazil,Centre-Back,€500k,2013,Portuguese First Division,Nacional
Diogo Coelho,"Sep 14, 1993 (20)","Portugal""",Centre-Back,€100k,2013,Portuguese First Division,Nacional
Jaime,"Feb 26, 1990 (24)",Brazil,Centre-Back,€100k,2013,Portuguese First Division,Nacional
Renato,"Dec 3, 1991 (22)",Brazil,Centre-Back,-,2013,Portuguese First Division,Nacional
Marçal,"Feb 19, 1989 (25)",Brazil,Left-Back,€2.00m,2013,Portuguese First Division,Nacional
Sequeira,"Aug 19, 1990 (23)",Portugal,Left-Back,€400k,2013,Portuguese First Division,Nacional
João Aurélio,"Aug 17, 1988 (25)",Portugal,Right-Back,€1.50m,2013,Portuguese First Division,Nacional
Marco Airosa,"Aug 6, 1984 (29)","Angola""",Right-Back,€400k,2013,Portuguese First Division,Nacional
Nuno Campos,"Jun 13, 1993 (21)",Portugal,Right-Back,€100k,2013,Portuguese First Division,Nacional
Bruno Moura,"Jul 13, 1992 (21)",Brazil,Right-Back,-,2013,Portuguese First Division,Nacional
Claudemir,"Aug 17, 1984 (29)",Brazil,Defensive Midfield,€2.00m,2013,Portuguese First Division,Nacional
Revson,"Dec 20, 1987 (26)",Brazil,Defensive Midfield,€700k,2013,Portuguese First Division,Nacional
Rafa Sousa,"Aug 26, 1988 (25)",Portugal,Defensive Midfield,€400k,2013,Portuguese First Division,Nacional
Mayko,"Feb 3, 1991 (23)",Brazil,Defensive Midfield,€100k,2013,Portuguese First Division,Nacional
Edgar Abreu,"Feb 16, 1994 (20)",Portugal,Central Midfield,€100k,2013,Portuguese First Division,Nacional
Dejan Skolnik,"Jan 1, 1989 (25)","Croatia""",Left Midfield,€700k,2013,Portuguese First Division,Nacional
Diego Barcelos,"Apr 5, 1985 (29)",Brazil,Attacking Midfield,€1.30m,2013,Portuguese First Division,Nacional
Jota,"Mar 7, 1993 (21)",Portugal,Attacking Midfield,€800k,2013,Portuguese First Division,Nacional
Saleh Gomaa,"Aug 1, 1993 (20)",Egypt,Attacking Midfield,€600k,2013,Portuguese First Division,Nacional
Mateus,"Jun 19, 1984 (30)","Angola""",Left Winger,€2.50m,2013,Portuguese First Division,Nacional
João Camacho,"Jun 23, 1994 (20)",Portugal,Left Winger,-,2013,Portuguese First Division,Nacional
Daniel Candeias,"Feb 25, 1988 (26)",Portugal,Right Winger,€2.50m,2013,Portuguese First Division,Nacional
Mario Rondón,"Mar 26, 1986 (28)","Venezuela""",Centre-Forward,€2.80m,2013,Portuguese First Division,Nacional
Hyun-jun Suk,"Jun 29, 1991 (23)","Korea, South",Centre-Forward,€2.00m,2013,Portuguese First Division,Nacional
Djaniny,"Mar 21, 1991 (23)",Cape Verde,Centre-Forward,€800k,2013,Portuguese First Division,Nacional
Lucas João,"Sep 4, 1993 (20)","Angola""",Centre-Forward,€500k,2013,Portuguese First Division,Nacional
Kayke Rodrigues,"Apr 1, 1988 (26)",Brazil,Centre-Forward,€200k,2013,Portuguese First Division,Nacional
Reginaldo,"Jun 4, 1990 (24)",Mozambique,Centre-Forward,€200k,2013,Portuguese First Division,Nacional
Romain Salin,"Jul 29, 1984 (29)",France,Goalkeeper,€1.70m,2013,Portuguese First Division,Marítimo
José Sá,"Jan 17, 1993 (21)",Portugal,Goalkeeper,€1.00m,2013,Portuguese First Division,Marítimo
Johnny Leoni,"Jun 30, 1984 (30)","Switzerland""",Goalkeeper,€500k,2013,Portuguese First Division,Marítimo
Wellington,"Apr 21, 1990 (24)",Brazil,Goalkeeper,€200k,2013,Portuguese First Division,Marítimo
Rui Vieira,"Nov 13, 1991 (22)",Portugal,Goalkeeper,€100k,2013,Portuguese First Division,Marítimo
Márcio Rosário,"Nov 21, 1983 (30)","Brazil""",Centre-Back,€1.00m,2013,Portuguese First Division,Marítimo
Gegé,"Feb 24, 1988 (26)",Cape Verde,Centre-Back,€800k,2013,Portuguese First Division,Marítimo
Igor Rossi,"Mar 10, 1989 (25)","Brazil""",Centre-Back,€500k,2013,Portuguese First Division,Marítimo
Ricardo Alves,"May 9, 1991 (23)",Portugal,Centre-Back,€400k,2013,Portuguese First Division,Marítimo
Patrick Bauer,"Oct 28, 1992 (21)",Germany,Centre-Back,€300k,2013,Portuguese First Division,Marítimo
Fábio Santos,"May 22, 1988 (26)",Portugal,Centre-Back,€200k,2013,Portuguese First Division,Marítimo
Luís Miguel,"Sep 24, 1991 (22)",Portugal,Centre-Back,€150k,2013,Portuguese First Division,Marítimo
Tenglong Lei,"Jan 17, 1991 (23)",China,Centre-Back,€100k,2013,Portuguese First Division,Marítimo
Rúben,"Feb 17, 1990 (24)",Portugal,Left-Back,€2.50m,2013,Portuguese First Division,Marítimo
Luís Olim,"Aug 27, 1981 (32)",Portugal,Left-Back,€300k,2013,Portuguese First Division,Marítimo
João Diogo,"Feb 28, 1988 (26)",Portugal,Right-Back,€500k,2013,Portuguese First Division,Marítimo
Briguel,"Mar 8, 1979 (35)",Portugal,Right-Back,€400k,2013,Portuguese First Division,Marítimo
Armando Freitas,"Jul 24, 1992 (21)",Cape Verde,Right-Back,€250k,2013,Portuguese First Division,Marítimo
Tiago Silva,"Feb 26, 1991 (23)",Portugal,Right-Back,€250k,2013,Portuguese First Division,Marítimo
Alemão,"Dec 7, 1992 (21)",Brazil,Right-Back,€100k,2013,Portuguese First Division,Marítimo
Danilo Pereira,"Sep 9, 1991 (22)","Portugal""",Defensive Midfield,€1.50m,2013,Portuguese First Division,Marítimo
João Luiz,"Jun 24, 1985 (29)","Brazil""",Defensive Midfield,€800k,2013,Portuguese First Division,Marítimo
Sérgio Marakis,"Nov 11, 1991 (22)","Portugal""",Defensive Midfield,€500k,2013,Portuguese First Division,Marítimo
Rodrigo Lindoso,"Jun 6, 1989 (25)",Brazil,Defensive Midfield,€300k,2013,Portuguese First Division,Marítimo
Amar Zildzovic,"Jun 29, 1990 (24)",Serbia,Defensive Midfield,€200k,2013,Portuguese First Division,Marítimo
Hassan,"Jan 20, 1989 (25)",Nigeria,Central Midfield,€400k,2013,Portuguese First Division,Marítimo
Pana,"Mar 9, 1992 (22)","Angola""",Central Midfield,€300k,2013,Portuguese First Division,Marítimo
Fransérgio,"Oct 18, 1990 (23)","Brazil""",Central Midfield,€300k,2013,Portuguese First Division,Marítimo
Alex Soares,"Mar 1, 1991 (23)",Portugal,Central Midfield,€100k,2013,Portuguese First Division,Marítimo
Artur,"Feb 18, 1984 (30)",Portugal,Attacking Midfield,€800k,2013,Portuguese First Division,Marítimo
Nuno Rocha,"Mar 25, 1992 (22)",Cape Verde,Attacking Midfield,€400k,2013,Portuguese First Division,Marítimo
Theo Weeks,"Jan 19, 1990 (24)",Liberia,Attacking Midfield,€400k,2013,Portuguese First Division,Marítimo
Carlos Daniel,"Jul 11, 1994 (19)",Portugal,Attacking Midfield,€200k,2013,Portuguese First Division,Marítimo
Héldon,"Nov 14, 1988 (25)",Cape Verde,Left Winger,€3.00m,2013,Portuguese First Division,Marítimo
Sami,"Dec 18, 1988 (25)","Guinea-Bissau""",Left Winger,€3.00m,2013,Portuguese First Division,Marítimo
Danilo Dias,"Nov 6, 1985 (28)",Brazil,Left Winger,€2.50m,2013,Portuguese First Division,Marítimo
Rúben Brígido,"Jun 23, 1991 (23)",Portugal,Left Winger,€400k,2013,Portuguese First Division,Marítimo
Jorge Chula,"Feb 13, 1990 (24)",Portugal,Right Winger,€300k,2013,Portuguese First Division,Marítimo
André Ferreira,"Jun 15, 1990 (24)",Portugal,Right Winger,€300k,2013,Portuguese First Division,Marítimo
Derley,"Dec 29, 1987 (26)",Brazil,Centre-Forward,€3.00m,2013,Portuguese First Division,Marítimo
Fidelis,"Jun 14, 1989 (25)",Brazil,Centre-Forward,€1.00m,2013,Portuguese First Division,Marítimo
Kukula,"Jan 22, 1993 (21)",Cape Verde,Centre-Forward,€750k,2013,Portuguese First Division,Marítimo
Edivândio,"Jan 1, 1991 (23)",Cape Verde,Centre-Forward,€400k,2013,Portuguese First Division,Marítimo
Pawel Kieszek,"Apr 16, 1984 (30)",Poland,Goalkeeper,€800k,2013,Portuguese First Division,Vitória Setúbal
Carlos Servín,"May 24, 1987 (27)",Paraguay,Goalkeeper,€500k,2013,Portuguese First Division,Vitória Setúbal
Adilson Júnior,"Jul 30, 1988 (25)",Brazil,Goalkeeper,€200k,2013,Portuguese First Division,Vitória Setúbal
Miguel Lázaro,"Apr 24, 1995 (19)",Portugal,Goalkeeper,-,2013,Portuguese First Division,Vitória Setúbal
Rúben Vezo,"Apr 25, 1994 (20)","Portugal""",Centre-Back,€1.60m,2013,Portuguese First Division,Vitória Setúbal
Javier Cohene,"May 3, 1987 (27)","Palestine""",Centre-Back,€1.20m,2013,Portuguese First Division,Vitória Setúbal
Frederico Venâncio,"Feb 4, 1993 (21)",Portugal,Centre-Back,€500k,2013,Portuguese First Division,Vitória Setúbal
Ozéia,"Jan 2, 1982 (32)","Brazil""",Centre-Back,€150k,2013,Portuguese First Division,Vitória Setúbal
Marcos Acosta,"Dec 7, 1991 (22)",Paraguay,Centre-Back,€100k,2013,Portuguese First Division,Vitória Setúbal
Adama François,"Nov 30, 1989 (24)",Senegal,Centre-Back,€100k,2013,Portuguese First Division,Vitória Setúbal
Nélson Pedroso,"Jun 10, 1985 (29)",Portugal,Left-Back,€700k,2013,Portuguese First Division,Vitória Setúbal
Kiko,"Jan 20, 1993 (21)",Portugal,Left-Back,€300k,2013,Portuguese First Division,Vitória Setúbal
Pedro Queirós,"Aug 8, 1984 (29)",Portugal,Right-Back,€800k,2013,Portuguese First Division,Vitória Setúbal
Coronas,"Sep 19, 1990 (23)",Portugal,Right-Back,€600k,2013,Portuguese First Division,Vitória Setúbal
Ney Santos,"Feb 23, 1981 (33)",Brazil,Defensive Midfield,€800k,2013,Portuguese First Division,Vitória Setúbal
Paulo Tavares,"Dec 9, 1985 (28)",Portugal,Defensive Midfield,€700k,2013,Portuguese First Division,Vitória Setúbal
Tiago Terroso,"Jan 13, 1988 (26)",Portugal,Defensive Midfield,€700k,2013,Portuguese First Division,Vitória Setúbal
Dani,"Jan 30, 1982 (32)",Portugal,Defensive Midfield,€600k,2013,Portuguese First Division,Vitória Setúbal
Marlon Costa,"Jan 25, 1995 (19)","Portugal""",Defensive Midfield,€100k,2013,Portuguese First Division,Vitória Setúbal
Wilder Cartagena,"Sep 23, 1994 (19)",Peru,Defensive Midfield,€100k,2013,Portuguese First Division,Vitória Setúbal
João Mário,"Jan 19, 1993 (21)","Portugal""",Central Midfield,€2.00m,2013,Portuguese First Division,Vitória Setúbal
Pedro Tiba,"Aug 31, 1988 (25)",Portugal,Central Midfield,€100k,2013,Portuguese First Division,Vitória Setúbal
Diogo Rosado,"Feb 21, 1990 (24)",Portugal,Attacking Midfield,€750k,2013,Portuguese First Division,Vitória Setúbal
Ricardo Horta,"Sep 15, 1994 (19)",Portugal,Left Winger,€1.00m,2013,Portuguese First Division,Vitória Setúbal
Miguel Pedro,"Nov 6, 1983 (30)",Portugal,Right Winger,€900k,2013,Portuguese First Division,Vitória Setúbal
Jorginho,"Mar 18, 1988 (26)",Portugal,Right Winger,€800k,2013,Portuguese First Division,Vitória Setúbal
Gonçalo Graça,"Mar 28, 1990 (24)",Portugal,Right Winger,€400k,2013,Portuguese First Division,Vitória Setúbal
Bruninho,"Sep 29, 1989 (24)",Brazil,Right Winger,€150k,2013,Portuguese First Division,Vitória Setúbal
Bruninho,"Sep 30, 1988 (25)",Portugal,Second Striker,€400k,2013,Portuguese First Division,Vitória Setúbal
Zequinha,"Jan 7, 1987 (27)",Portugal,Second Striker,€300k,2013,Portuguese First Division,Vitória Setúbal
Betinho,"Jul 21, 1993 (20)",Portugal,Centre-Forward,€1.50m,2013,Portuguese First Division,Vitória Setúbal
