,Unnamed: 0.1,Unnamed: 0,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
1417,1417,17,517,461,"Euros 2016, Qualifiers",04.09.15,Georgia vs Scotland,2015,Scotland,SC,4. Мартин Р.,R Martin,0,Fail
1493,1493,93,593,476,"Euros 2016, Qualifiers",09.10.14,England vs San Marino,2014,San Marino,SM,4. Витайоли Ф.,F Vitaioli,0,Fail
1512,1512,12,212,415,"Euros 2016, Qualifiers",08.09.14,Ukraine vs Slovakia,2014,Slovakia,SK,5. Дьомбер,Diomber,0,Fail
1526,1526,26,226,417,"Euros 2016, Qualifiers",09.10.14,North Macedonia vs Luxembourg,2014,N. Macedonia,MK,1. Пачовски,Pachowski,0,Fail
1538,1538,38,238,417,"Euros 2016, Qualifiers",09.10.14,North Macedonia vs Luxembourg,2014,Luxembourg,LU,2. Шано,Shano,0,Fail
1548,1548,48,248,418,"Euros 2016, Qualifiers",09.10.14,Slovakia vs Spain,2014,Slovakia,SK,5. Дьомбер,Diomber,0,Fail
1550,1550,50,250,419,"Euros 2016, Qualifiers",12.10.14,Ukraine vs North Macedonia,2014,N. Macedonia,MK,1. Пачовски,Pachowski,0,Fail
1561,1561,61,261,420,"Euros 2016, Qualifiers",12.10.14,Belarus vs Slovakia,2014,Slovakia,SK,5. Дьомбер,Diomber,0,Fail
1564,1564,64,264,421,"Euros 2016, Qualifiers",12.10.14,Luxembourg vs Spain,2014,Luxembourg,LU,2. Шано,Shano,0,Fail
1575,1575,75,275,422,"Euros 2016, Qualifiers",15.11.14,Luxembourg vs Ukraine,2014,Luxembourg,LU,2. Шано,Shano,0,Fail
1585,1585,85,285,423,"Euros 2016, Qualifiers",15.11.14,North Macedonia vs Slovakia,2014,N. Macedonia,MK,1. Пачовски,Pachowski,0,Fail
1599,1599,99,299,425,"Euros 2016, Qualifiers",27.03.15,North Macedonia vs Belarus,2015,N. Macedonia,MK,1. Пачовски,Pachowski,0,Fail
1608,1608,8,408,440,"Euros 2016, Qualifiers",12.10.15,Belarus vs North Macedonia,2015,N. Macedonia,MK,3. Жута,Yellow,0,Fail
1615,1615,15,415,441,"Euros 2016, Qualifiers",12.10.15,Luxembourg vs Slovakia,2015,Luxembourg,LU,2. Шано,Shano,0,Fail
1622,1622,22,422,441,"Euros 2016, Qualifiers",12.10.15,Luxembourg vs Slovakia,2015,Slovakia,SK,5. Дьомбер,Diomber,0,Fail
1631,1631,31,431,446,"Euros 2016, Qualifiers",11.10.14,Ireland vs Gibraltar,2014,Gibraltar,GI,5. Р.Кашаро,R Kasharo,0,Fail
1638,1638,38,438,446,"Euros 2016, Qualifiers",11.10.14,Ireland vs Gibraltar,2014,Gibraltar,GI,7. Л.Кашаро,L Kasharo,0,Fail
1659,1659,59,459,447,"Euros 2016, Qualifiers",11.10.14,Scotland vs Georgia,2014,Georgia,GE,20. Казаишвили,Kazaishvili,0,Fail
1670,1670,70,470,450,"Euros 2016, Qualifiers",14.10.14,Gibraltar vs Georgia,2014,Gibraltar,GI,5. Р.Кашаро,R Kasharo,0,Fail
1676,1676,76,476,450,"Euros 2016, Qualifiers",14.10.14,Gibraltar vs Georgia,2014,Gibraltar,GI,7. Л.Кашаро,L Kasharo,0,Fail
1705,1705,5,2005,371,"Euros 2016, Qualifiers",03.09.15,Czech vs Kazakhstan,2015,Kazakhstan,KZ,2. Малый,Small,0,Fail
1706,1706,6,2006,371,"Euros 2016, Qualifiers",03.09.15,Czech vs Kazakhstan,2015,Kazakhstan,KZ,3. Гурман,The Gourmand,0,Fail
1709,1709,9,2009,371,"Euros 2016, Qualifiers",03.09.15,Czech vs Kazakhstan,2015,Kazakhstan,KZ,23. Логвиненко,E ,0,Fail
1729,1729,29,2029,373,"Euros 2016, Qualifiers",03.09.15,Turkey vs Latvia,2015,Latvia,LV,8. Цауня,Tsaunya,0,Fail
1755,1755,55,2055,376,"Euros 2016, Qualifiers",06.09.15,Iceland vs Kazakhstan,2015,Kazakhstan,KZ,2. Малый,Small,0,Fail
1756,1756,56,2056,376,"Euros 2016, Qualifiers",06.09.15,Iceland vs Kazakhstan,2015,Kazakhstan,KZ,3. Гурман,The Gourmand,0,Fail
1764,1764,64,2064,376,"Euros 2016, Qualifiers",06.09.15,Iceland vs Kazakhstan,2015,Kazakhstan,KZ,23. Логвиненко,E ,0,Fail
1776,1776,76,2076,378,"Euros 2016, Qualifiers",10.10.15,Kazakhstan vs Netherlands,2015,Kazakhstan,KZ,23. Логвиненко,E ,0,Fail
1829,1829,29,2829,1512,Nations League 2018-2020,07.09.18,Azerbaijan vs Kosovo,2018,Azerbaijan,AZ,10. Гурбанов Р.,R Gurbanov,0,Fail
1865,1865,21,1621,584,"Euros 2016, Qualifiers",06.09.15,Malta vs Azerbaijan,2015,Malta,MT,7. Файла,File,0,Fail
1870,1870,26,1626,584,"Euros 2016, Qualifiers",06.09.15,Malta vs Azerbaijan,2015,Malta,MT,15. Борг С.,S Borg,0,Fail
1874,1874,30,1630,584,"Euros 2016, Qualifiers",06.09.15,Malta vs Azerbaijan,2015,Azerbaijan,AZ,2. Гараев,Garaev,0,Fail
1901,1901,57,1657,587,"Euros 2016, Qualifiers",10.10.15,Azerbaijan vs Italy,2015,Azerbaijan,AZ,10. Гурбанов Р.,R Gurbanov,0,Fail
1904,1904,60,1660,588,"Euros 2016, Qualifiers",10.10.15,Norway vs Malta,2015,Norway,NO,16. Алисами,Alice,0,Fail
1910,1910,66,1666,588,"Euros 2016, Qualifiers",10.10.15,Norway vs Malta,2015,Malta,MT,5. Агиус Э.,E Agius,0,Fail
1934,1934,90,1690,591,"Euros 2016, Qualifiers",13.10.15,Italy vs Norway,2015,Norway,NO,16. Алисами,Alice,0,Fail
1936,1936,92,1692,592,"Euros 2016, Qualifiers",13.10.15,Malta vs Croatia,2015,Malta,MT,5. Агиус Э.,E Agius,0,Fail
1942,1942,98,1698,592,"Euros 2016, Qualifiers",13.10.15,Malta vs Croatia,2015,Malta,MT,18. Кристенсен,Christensen,0,Fail
1946,1946,2,1702,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,3. Ароян,Aroyan,0,Fail
1953,1953,9,1709,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,13. К.Оганесян,E ,0,Fail
1960,1960,16,1716,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,13. С.Митрович,E ,0,Fail
2038,2038,94,1794,1523,Nations League 2018-2020,20.11.18,Malta vs Faroe Islands,2018,Faroe Islands,FO,22. Томсен Я.Л.,YAL Tomsen,0,Fail
2059,2059,15,315,426,"Euros 2016, Qualifiers",27.03.15,Slovakia vs Luxembourg,2015,Luxembourg,LU,2. Шано,Shano,0,Fail
2063,2063,19,319,426,"Euros 2016, Qualifiers",27.03.15,Slovakia vs Luxembourg,2015,Luxembourg,LU,13. Жоашим,Žoashim,0,Fail
2069,2069,25,325,428,"Euros 2016, Qualifiers",14.06.15,Ukraine vs Luxembourg,2015,Luxembourg,LU,2. Шано,Shano,0,Fail
2081,2081,37,337,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,Luxembourg,LU,2. Шано,Shano,0,Fail
2089,2089,45,345,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,Luxembourg,LU,13. Жоашим,Žoashim,0,Fail
2091,2091,47,347,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,1. Пачовски,Pachowski,0,Fail
2095,2095,51,351,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,18. Жута,Yellow,0,Fail
2098,2098,54,354,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,17. Петрович,[],0,Fail
2106,2106,62,362,433,"Euros 2016, Qualifiers",05.09.15,Spain vs Slovakia,2015,Slovakia,SK,3. Дембер,Dember,0,Fail
2109,2109,65,365,433,"Euros 2016, Qualifiers",05.09.15,Spain vs Slovakia,2015,Slovakia,SK,13. Грошовски,Grośowski,0,Fail
2113,2113,69,369,434,"Euros 2016, Qualifiers",08.09.15,Belarus vs Luxembourg,2015,Luxembourg,LU,2. Шано,Shano,0,Fail
2119,2119,75,375,434,"Euros 2016, Qualifiers",08.09.15,Belarus vs Luxembourg,2015,Luxembourg,LU,18. Жанс,Zhans,0,Fail
2121,2121,77,377,435,"Euros 2016, Qualifiers",08.09.15,North Macedonia vs Spain,2015,N. Macedonia,MK,1. Пачовски,Pachowski,0,Fail
2124,2124,80,380,435,"Euros 2016, Qualifiers",08.09.15,North Macedonia vs Spain,2015,N. Macedonia,MK,18. Жута,Yellow,0,Fail
2125,2125,81,381,435,"Euros 2016, Qualifiers",08.09.15,North Macedonia vs Spain,2015,N. Macedonia,MK,23.  Асковски,Askovski,0,Fail
2127,2127,83,383,435,"Euros 2016, Qualifiers",08.09.15,North Macedonia vs Spain,2015,N. Macedonia,MK,17.  Петрович,[],0,Fail
2132,2132,88,388,437,"Euros 2016, Qualifiers",09.10.15,North Macedonia vs Ukraine,2015,N. Macedonia,MK,1. Пачовски,Pachowski,0,Fail
2134,2134,90,390,437,"Euros 2016, Qualifiers",09.10.15,North Macedonia vs Ukraine,2015,N. Macedonia,MK,3. Жута,Yellow,0,Fail
2137,2137,93,393,437,"Euros 2016, Qualifiers",09.10.15,North Macedonia vs Ukraine,2015,N. Macedonia,MK,4. Петрович,[],0,Fail
2143,2143,99,399,439,"Euros 2016, Qualifiers",09.10.15,Spain vs Luxembourg,2015,Luxembourg,LU,2. Шано,Shano,0,Fail
2149,2149,5,1105,529,"Euros 2016, Qualifiers",08.10.15,Romania vs Finland,2015,Finland,FI,18. Уронен,Dropped,0,Fail
2154,2154,10,1110,530,"Euros 2016, Qualifiers",11.10.15,Faroe Islands vs Romania,2015,Faroe Islands,FO,2. Нес,Nes,0,Fail
2156,2156,12,1112,530,"Euros 2016, Qualifiers",11.10.15,Faroe Islands vs Romania,2015,Faroe Islands,FO,8. Хенриксен,Henriksen,0,Fail
2159,2159,15,1115,530,"Euros 2016, Qualifiers",11.10.15,Faroe Islands vs Romania,2015,Faroe Islands,FO,15. Фере,Fere,0,Fail
2166,2166,22,1122,531,"Euros 2016, Qualifiers",11.10.15,Finland vs Northern Ireland,2015,Finland,FI,5. Япасто,Yapasto,0,Fail
2172,2172,28,1128,531,"Euros 2016, Qualifiers",11.10.15,Finland vs Northern Ireland,2015,Finland,FI,18. Уронен,Dropped,0,Fail
2189,2189,45,1145,533,"Euros 2016, Qualifiers",08.09.14,Russia vs Liechtenstein,2014,Liechtenstein,LI,8. Визер,Vieser,0,Fail
2193,2193,49,1149,533,"Euros 2016, Qualifiers",08.09.14,Russia vs Liechtenstein,2014,Liechtenstein,LI,15. Сейхан Йилдиз,Ceyhan Yildiz,0,Fail
2194,2194,50,1150,533,"Euros 2016, Qualifiers",08.09.14,Russia vs Liechtenstein,2014,Liechtenstein,LI,18. Н.Хаслер,N Hasler,0,Fail
2200,2200,56,1156,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Liechtenstein,LI,8. Визер,Vieser,0,Fail
2218,2218,74,1174,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Montenegro,ME,23. Шимич,Šimić,0,Fail
2220,2220,76,1176,537,"Euros 2016, Qualifiers",09.10.14,Moldova vs Austria,2014,Moldova,MD,2. Армаш,Armash,0,Fail
2252,2252,8,1808,1531,Nations League 2018-2020,16.10.18,Gibraltar vs Liechtenstein,2018,Gibraltar,GI,19. Кабрера Дж.,J Cabrera,0,Fail
2270,2270,26,1826,806,"Euros 2020, Qualifiers",11.10.19,Andorra vs Moldova,2019,Moldova,MD,8. Михайлов М-м,Mikhailovmmm,0,Fail
2277,2277,33,1833,822,"Euros 2020, Qualifiers",08.06.19,Russia vs San Marino,2019,San Marino,SM,6. Витайоли Ф.,F Vitaioli,0,Fail
2280,2280,36,1836,825,"Euros 2020, Qualifiers",11.06.19,Kazakhstan vs San Marino,2019,San Marino,SM,6. Витайоли Ф.,F Vitaioli,0,Fail
2284,2284,40,1840,833,"Euros 2020, Qualifiers",09.09.19,San Marino vs Cyprus,2019,San Marino,SM,2. Витайоли Ф.,F Vitaioli,0,Fail
2292,2292,48,1848,845,"Euros 2020, Qualifiers",19.11.19,San Marino vs Russia,2019,San Marino,SM,2. Витайоли Ф.,F Vitaioli,0,Fail
2315,2315,71,1871,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Netherlands,NL,2. Ван дер Виль,Vander Wiel,0,Fail
2342,2342,98,1898,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,23. Логвиненко,F ,0,Fail
2430,2430,86,2586,188,World Cup 2014,19.06.14,Colombia vs Ivory Coast,2014,Ivory Coast,CI,1. Барри,Barry,0,Fail
2477,2477,33,2233,392,"Euros 2016, Qualifiers",16.11.14,Cyprus vs Andorra,2014,Andorra,AD,2. К.Мартинс,K Martins,0,Fail
2499,2499,55,2255,402,"Euros 2016, Qualifiers",03.09.15,Cyprus vs Wales,2015,Cyprus,CY,2. Досса жуниор,Dossajunior,0,Fail
2553,2553,9,1309,554,"Euros 2016, Qualifiers",08.09.15,Liechtenstein vs Russia,2015,Liechtenstein,LI,9. Кибер,Cyber,0,Fail
2594,2594,50,1350,557,"Euros 2016, Qualifiers",09.10.15,Liechtenstein vs Sweden,2015,Liechtenstein,LI,14. Эхри,Ehri,0,Fail
2606,2606,62,1362,558,"Euros 2016, Qualifiers",09.10.15,Moldova vs Russia,2015,Moldova,MD,17. Оникэ,Onike,0,Fail
2614,2614,70,1370,560,"Euros 2016, Qualifiers",12.10.15,Austria vs Liechtenstein,2015,Liechtenstein,LI,14. Эхри,Ehri,0,Fail
2618,2618,74,1374,560,"Euros 2016, Qualifiers",12.10.15,Austria vs Liechtenstein,2015,Liechtenstein,LI,19. Кибер,Cyber,0,Fail
2622,2622,78,1378,561,"Euros 2016, Qualifiers",12.10.15,Russia vs Montenegro,2015,Montenegro,ME,3. Родич,Relative,0,Fail
2638,2638,94,1394,562,"Euros 2016, Qualifiers",12.10.15,Sweden vs Moldova,2015,Moldova,MD,20. Время,Time,0,Fail
2665,2665,21,721,484,"Euros 2016, Qualifiers",15.11.14,Switzerland vs Lithuania,2014,Lithuania,LT,15. Хведукас,Khvedukas,0,Fail
2679,2679,35,735,491,"Euros 2016, Qualifiers",05.09.15,Estonia vs Lithuania,2015,Lithuania,LT,7. Чеснаускис Д.,D Chesnauskis,0,Fail
2683,2683,39,739,491,"Euros 2016, Qualifiers",05.09.15,Estonia vs Lithuania,2015,Lithuania,LT,16. Сливка,Cream,0,Fail
2688,2688,44,744,492,"Euros 2016, Qualifiers",05.09.15,San Marino vs England,2015,San Marino,SM,5. Симончини Д.,D Simoncini,0,Fail
2714,2714,70,770,495,"Euros 2016, Qualifiers",08.09.15,Lithuania vs San Marino,2015,Lithuania,LT,16. Сливка,Cream,0,Fail
2747,2747,3,1403,565,"Euros 2016, Qualifiers",09.09.14,Norway vs Italy,2014,Norway,NO,16. Фло,V ,0,Fail
2777,2777,33,1433,567,"Euros 2016, Qualifiers",10.10.14,Italy vs Azerbaijan,2014,Azerbaijan,AZ,2. Караев,Karaev,0,Fail
2779,2779,35,1435,567,"Euros 2016, Qualifiers",10.10.14,Italy vs Azerbaijan,2014,Azerbaijan,AZ,6. Гусейнов Б.,B Guseinov,0,Fail
2781,2781,37,1437,567,"Euros 2016, Qualifiers",10.10.14,Italy vs Azerbaijan,2014,Azerbaijan,AZ,8. Гыртымов,Gyrtymov,0,Fail
2783,2783,39,1439,567,"Euros 2016, Qualifiers",10.10.14,Italy vs Azerbaijan,2014,Azerbaijan,AZ,11. Алиев,Aliev,0,Fail
2792,2792,48,1448,568,"Euros 2016, Qualifiers",10.10.14,Malta vs Norway,2014,Malta,MT,7. Фэйла,Fayla,0,Fail
2821,2821,77,1477,569,"Euros 2016, Qualifiers",13.10.14,Croatia vs Azerbaijan,2014,Azerbaijan,AZ,2. Гараев,Garaev,0,Fail
2826,2826,82,1482,569,"Euros 2016, Qualifiers",13.10.14,Croatia vs Azerbaijan,2014,Azerbaijan,AZ,11. Алиев,Aliev,0,Fail
