,Unnamed: 0.2,Match ID,Competition,Season,Country Code,Lookup Still Required?,Lookup Return Case,Translated Name,Original Case,To Remove,Nationality,Name(s) Found,ORIGINAL JERSEY,Match,Date,Market Value New,Status New,Match Case
46,46,617,"Euros 2020, Qualifiers",2020,IS,TRUE,Name Confusion,,Group 1 Fail,FALSE,Iceland,Jóhann Berg Gudmundsson,Gudmundsson,Hungary vs Iceland,12.11.20,5000000,Done,single
47,47,1747,Nations League 2022-2023,2022,WA,TRUE,Name Confusion,,Group 1 Fail,FALSE,Wales,Ben Davies,Davies,Wales vs Netherlands,08.06.22,20000000,Done,single
48,48,444,"Euros 2016, Qualifiers",2014,SC,TRUE,Name Confusion,,Group 1 Fail,FALSE,Scotland,Darren Fletcher,Fletcher,Germany vs Scotland,07.09.14,3000000,Done,single
49,49,466,"Euros 2016, Qualifiers",2015,SC,TRUE,Name Confusion,,Group 1 Fail,FALSE,Scotland,Russell Martin,Martin,Scotland vs Germany,07.09.15,3000000,Done,single
50,50,2377,"World Cup Qualifiers, Asia, 2018",2015,MY,TRUE,Name Confusion,,Group 1 Fail,FALSE,Malaysia,Safee Sali,Sali,Malaysia vs Palestine,16-06-2015,0,Done,single
51,51,2384,"World Cup Qualifiers, Asia, 2018",2015,KH,TRUE,Name Confusion,,Group 1 Fail,FALSE,Cambodia,Souhana Sos,Sos Suhana,Cambodia vs Syria,08-09-2015,,,single
52,52,1395,Nations League 2018-2020,2019,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Portugal vs Netherlands,09.06.19,,,single
53,53,1399,Nations League 2018-2020,2018,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,France vs Netherlands,09.09.18,,,single
54,54,1403,Nations League 2018-2020,2018,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Germany vs Netherlands,19.11.18,,,single
55,55,1405,Nations League 2018-2020,2018,BE,TRUE,Name Confusion,,Group 1 Fail,FALSE,Belgium,Eden Hazard,Hazard,Iceland vs Belgium,11.09.18,120000000,Done,single
56,56,1406,Nations League 2018-2020,2018,BE,TRUE,Name Confusion,,Group 1 Fail,FALSE,Belgium,Eden Hazard,Hazard,Belgium vs Switzerland,12.10.18,120000000,Done,single
57,57,1407,Nations League 2018-2020,2018,IS,TRUE,Name Confusion,,Group 1 Fail,FALSE,Iceland,Jóhann Berg Gudmundsson,Gudmundsson,Iceland vs Switzerland,15.10.18,,,single
58,58,1059,"Euros 2024, Qualifiers",2023,AD,TRUE,Name Confusion,,Group 1 Fail,FALSE,Andorra,Marc Vales,Vales,Andorra vs Belarus,09.09.23,,,single
59,59,1071,"Euros 2024, Qualifiers",2023,AD,TRUE,Name Confusion,,Group 1 Fail,FALSE,Andorra,Marc Vales,Vales,Belarus vs Andorra,18.11.23,,,single
60,60,2327,"World Cup Qualifiers, Asia, 2018",2017,QA,TRUE,Name Confusion,,Group 1 Fail,FALSE,Qatar,Abdulkareem Salem Al-Ali,Abdulkarim Salem,Qatar vs China PR,05-09-2017,50000,Done,single
61,61,2606,"World Cup Qualifiers, Asia, 2022",2019,MY,TRUE,Name Confusion,,Group 1 Fail,FALSE,Malaysia,Syafiq Ahmad,Sya,Malaysia vs United Arab Emirates,10-09-2019,175000,Done,single
62,62,2611,"World Cup Qualifiers, Asia, 2022",2019,MY,TRUE,Name Confusion,,Group 1 Fail,FALSE,Malaysia,Syafiq Ahmad,Sya,Indonesia vs Malaysia,5-9-2019,175000,Done,single
63,63,316,World Cup 2022,2022,AR,TRUE,Name Confusion,,Group 1 Fail,FALSE,Argentina,Lautaro Martínez,L Martínez,Argentina vs Saudi Arabia,22.11.22,,,single
64,64,350,World Cup 2022,2022,PT,TRUE,Name Confusion,,Group 1 Fail,FALSE,Portugal,António Silva,A Silva,South Korea vs Portugal,02.12.22,15000000,Done,single
65,65,2539,"World Cup Qualifiers, Asia, 2022",2021,NP,TRUE,Name Confusion,,Group 1 Fail,FALSE,Nepal,Anjan Bista,A Bista,Nepal vs Jordan,07-06-2021,125000,Done,single
66,66,2546,"World Cup Qualifiers, Asia, 2022",2019,BD,TRUE,Name Confusion,,Group 1 Fail,FALSE,Bangladesh,Raihan Hasan,R Hasan,India vs Bangladesh,15-10-2019,,,single
67,67,895,"Euros 2024, Qualifiers",2023,GE,TRUE,Name Confusion,,Group 1 Fail,FALSE,Georgia,Lochoshvili,Lochoschvili,Spain vs Georgia,19.11.23,,,single
68,68,1541,Nations League 2020-2021,2020,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Netherlands vs Poland,04.09.20,,,single
69,69,1543,Nations League 2020-2021,2020,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Luuk de Jong,de Jong,Netherlands vs Italy,07.09.20,,,single
70,70,1552,Nations League 2020-2021,2020,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Poland vs Netherlands,18.11.20,,,single
71,71,373,"Euros 2016, Qualifiers",2015,LV,TRUE,Name Confusion,,Group 1 Fail,FALSE,Latvia,Aleksejs Visnakovs,Visnakovs,Turkey vs Latvia,03.09.15,,,single
72,72,380,"Euros 2016, Qualifiers",2015,LV,TRUE,Name Confusion,,Group 1 Fail,FALSE,Latvia,Aleksejs Visnakovs,Visnakovs,Latvia vs Kazakhstan,13.10.15,,,single
73,73,1049,"Euros 2024, Qualifiers",2023,AD,TRUE,Name Confusion,,Group 1 Fail,FALSE,Andorra,Marc Vales,Vales,Andorra vs Romania,25.03.23,,,single
74,74,728,"Euros 2020, Qualifiers",2019,NO,TRUE,Name Confusion,,Group 1 Fail,FALSE,Norway,Tarik Elyounoussi,Elyounoussi,Spain vs Norway,23.03.19,,,single
75,75,1771,Nations League 2022-2023,2022,IS,TRUE,Name Confusion,,Group 1 Fail,FALSE,Iceland,Andri Gudjohnsen,Gudjohnsen,Iceland vs Albania,06.06.22,,,single
76,76,1775,Nations League 2022-2023,2022,IS,TRUE,Name Confusion,,Group 1 Fail,FALSE,Iceland,Andri Gudjohnsen,Gudjohnsen,Iceland vs Israel,13.06.22,,,single
77,77,2636,"World Cup Qualifiers, Asia, 2022",2019,MY,TRUE,Name Confusion,,Group 1 Fail,FALSE,Malaysia,Syafiq Ahmad,Sya,Vietnam vs Malaysia,10-10-2019,175000,Done,single
78,78,2488,"World Cup Qualifiers, Asia, 2022",2021,NP,TRUE,Name Confusion,,Group 1 Fail,FALSE,Nepal,Anjan Bista,A Bista,Nepal vs Chinese Taipei,03-06-2021,125000,Done,single
79,79,2502,"World Cup Qualifiers, Asia, 2022",2019,BD,TRUE,Name Confusion,,Group 1 Fail,FALSE,Bangladesh,Raihan Hasan,R Hasan,Oman vs Bangladesh,14-11-2019,,,single
80,80,2516,"World Cup Qualifiers, Asia, 2022",2021,NP,TRUE,Name Confusion,,Group 1 Fail,FALSE,Nepal,Arik Bista,A Bista,Nepal vs Australia,11-06-2021,,,single
81,81,275,World Cup 2018,2018,BE,TRUE,Name Confusion,,Group 1 Fail,FALSE,Belgium,Eden Hazard,Hazard,Belgium vs Panama,18.06.18,,,single
82,82,293,World Cup 2022,2022,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Luuk de Jong,de Jong,Netherlands vs Argentina,09.12.22,,,single
83,83,571,"Euros 2016, Qualifiers",2014,BG,TRUE,Name Confusion,,Group 1 Fail,FALSE,Bulgaria,Veselin Minev,Minev,Norway vs Bulgaria,13.10.14,,,single
84,84,481,"Euros 2016, Qualifiers",2014,SM,TRUE,Name Confusion,,Group 1 Fail,FALSE,San Marino,Alex Gasperoni,Gasperoni,San Marino vs Switzerland,14.10.14,,,single
85,85,360,"Euros 2016, Qualifiers",2014,IS,TRUE,Name Confusion,,Group 1 Fail,FALSE,Iceland,Elmar Bjarnason,Bjarnason,Iceland vs Netherlands,13.10.14,750000,Done,single
86,86,499,"Euros 2016, Qualifiers",2015,SM,TRUE,Name Confusion,,Group 1 Fail,FALSE,San Marino,Matteo Vitaioli,Vitaioli,Switzerland vs San Marino,09.10.15,,,single
87,87,390,"Euros 2016, Qualifiers",2014,WA,TRUE,Name Confusion,,Group 1 Fail,FALSE,Wales,Neil Taylor,Taylor,Wales vs Cyprus,13.10.14,,,single
88,88,467,"Euros 2016, Qualifiers",2015,GI,TRUE,Name Confusion,,Group 1 Fail,FALSE,Gibraltar,Jordan Perez,Perez,Georgia vs Gibraltar,08.10.15,0,Done,single
89,89,471,"Euros 2016, Qualifiers",2015,GI,TRUE,Name Confusion,,Group 1 Fail,FALSE,Gibraltar,Daniel Duarte,Duarte,Gibraltar vs Scotland,11.10.15,0,Done,single
90,90,447,"Euros 2016, Qualifiers",2014,SC,TRUE,Name Confusion,,Group 1 Fail,FALSE,Scotland,Russell Martin,Martin,Scotland vs Georgia,11.10.14,3000000,Done,single
91,91,569,"Euros 2016, Qualifiers",2014,AZ,TRUE,Name Confusion,,Group 1 Fail,FALSE,Azerbaijan,Badavi Hüseynov,Huseynov,Croatia vs Azerbaijan,13.10.14,0,Done,single
92,92,1930,"World Cup Qualifiers, Africa, 2018",2015,SO,TRUE,Name Confusion,,Group 1 Fail,FALSE,Somalia,Abdinasir Yusuf Ahmed,A Ahmed,Niger vs Somalia,13-10-2015,0,Done,single
93,93,1930,"World Cup Qualifiers, Africa, 2018",2015,SO,TRUE,Name Confusion,,Group 1 Fail,FALSE,Somalia,Mohamed Ali Mohamed,A Mohamed,Niger vs Somalia,13-10-2015,0,Done,single
94,94,2394,"World Cup Qualifiers, Asia, 2018",2015,BH,TRUE,Name Confusion,,Group 1 Fail,FALSE,Bahrain,Husain Ali Baba,Ali Al Sa,North Korea vs Bahrain,17-11-2015,0,Done,single
95,95,2203,"World Cup Qualifiers, Africa, 2026",2023,SO,TRUE,Name Confusion,,Group 1 Fail,FALSE,Somalia,Abdi Mohamed,A Mohamed,Algeria vs Somalia,16-11-2023,150000,Done,single
96,96,1064,"Euros 2024, Qualifiers",2023,XK,TRUE,Name Confusion,,Group 1 Fail,FALSE,Kosovo,Amir Rrahmani,Rrahmani,Romania vs Kosovo,12.09.23,,,single
97,97,2267,"World Cup Qualifiers, Asia, 2018",2015,VN,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Vietnam,Thanh Hien Nguyen,Nguyn Thanh Hin,Chinese Taipei vs Vietnam,08-09-2015,0.0,Done,single
98,98,2274,"World Cup Qualifiers, Asia, 2018",2015,VN,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Vietnam,Thanh Hien Nguyen,Nguyn Thanh Hin,Vietnam vs Iraq,08-10-2015,0.0,Done,single
99,99,3653,"Gold Cup, 2013",2013,HN,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Honduras,Johnny Palacios,J Palacios,Honduras vs Trinidad and Tobago,16-07-2013,200000.0,Done,single
100,100,3653,"Gold Cup, 2013",2013,HN,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Honduras,Jerry Palacios,J Palacios,Honduras vs Trinidad and Tobago,16-07-2013,600000.0,Done,single
101,101,2194,"World Cup Qualifiers, Africa, 2022",2021,LY,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Libya,Mohamed Zaabia,Mohammad Zubya,Angola vs Libya,07-09-2021,0.0,Done,single
102,102,2198,"World Cup Qualifiers, Africa, 2022",2021,LY,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Libya,Mohamed Zaabia,Mohammad Zubya,Gabon vs Libya,12-11-2021,0.0,Done,single
103,103,2118,"World Cup Qualifiers, Africa, 2022",2021,LY,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Libya,Mohamed Zaabia,Mohammad Zubya,Libya vs Gabon,01-09-2021,0.0,Done,single
104,104,2926,"World Cup Qualifiers, Europe, 2014",2013,SM,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,San Marino,Alessandro Della Valle,A Della Valle,San Marino vs Ukraine,15-10-2013,0,Done,single
105,105,2834,"World Cup Qualifiers, Europe, 2014",2013,SM,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,San Marino,Alessandro Della Valle,A Della Valle,Poland vs San Marino,26-03-2013,0.0,Done,single
106,106,1986,"World Cup Qualifiers, Africa, 2018",2015,MG,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Madagascar,Tahiana Randrianarisoa,G Randrianarisoa,Central African Republic vs Madagascar,10-10-2015,0.0,Done,single
107,107,2282,"World Cup Qualifiers, Asia, 2018",2015,IN,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,India,Sehnaj Singh,S Singh,India vs Oman,11-06-2015,0,Done,single
108,108,2157,"World Cup Qualifiers, Africa, 2022",2019,SO,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Somalia,Mohamud Ali,M Ali Mohamed,Somalia vs Zimbabwe,05-09-2019,0,Done,single
109,109,2163,"World Cup Qualifiers, Africa, 2022",2021,DJ,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Djibouti,Mohamed Bourhan Mohamed,M Mohamed,Djibouti vs Burkina Faso,08-10-2021,0.0,Done,single
110,110,2165,"World Cup Qualifiers, Africa, 2022",2021,DJ,TRUE,Name Confusion,,Large Dataset Said 0 Complete,FALSE,Djibouti,Mohamed Bourhan Mohamed,M Mohamed,Burkina Faso vs Djibouti,11-10-2021,0.0,Done,single
