,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,Lookup Still Required?,Lookup Return Case,Name(s) Found,Translated Name,Original Case,To Remove
20,353,209,3765,"Gold Cup, 2021",11-07-2021,Mexico vs Trinidad and Tobago,2021,Mexico,MX,E Álvarez,True,Name Confusion,"['Edson Álvarez', 'Efraín Álvarez']",,Group 1 Fail,False
21,354,210,3770,"Gold Cup, 2021",15-07-2021,Guatemala vs Mexico,2021,Mexico,MX,E Álvarez,True,Name Confusion,"['Edson Álvarez', 'Efraín Álvarez']",,Group 1 Fail,False
22,355,211,668,"Euros 2020, Qualifiers",24.03.19,Netherlands vs Germany,2019,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
23,356,212,675,"Euros 2020, Qualifiers",06.09.19,Germany vs Netherlands,2019,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
24,357,213,677,"Euros 2020, Qualifiers",09.09.19,Estonia vs Netherlands,2019,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
25,358,214,679,"Euros 2020, Qualifiers",10.10.19,Netherlands vs Northern Ireland,2019,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
26,359,215,680,"Euros 2020, Qualifiers",13.10.19,Belarus vs Netherlands,2019,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
27,360,216,683,"Euros 2020, Qualifiers",16.11.19,Northern Ireland vs Netherlands,2019,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
28,361,217,228,World Cup 2018,06.07.18,Brazil vs Belgium,2018,Belgium,BE,Hazard,True,Name Confusion,"['Eden Hazard', 'Thorgan Hazard']",,Group 1 Fail,False
29,370,226,2157,"World Cup Qualifiers, Africa, 2022",05-09-2019,Somalia vs Zimbabwe,2019,Somalia,SO,A Sheikuna Mohamed,True,Name Confusion,"['Mohamed Abukar Mohamed', 'Farhan Mohamed Ahmed']",,Group 1 Fail,False
30,372,228,2157,"World Cup Qualifiers, Africa, 2022",05-09-2019,Somalia vs Zimbabwe,2019,Somalia,SO,A Mohamed,True,Name Confusion,"['Mohamed Abukar Mohamed', 'Farhan Mohamed Ahmed']",,Group 1 Fail,False
31,373,229,262,World Cup 2018,26.06.18,Iceland vs Croatia,2018,Iceland,IS,Gudmundsson,True,Name Confusion,"['Jóhann Berg Gudmundsson', 'Albert Gudmundsson']",,Group 1 Fail,False
32,402,258,2750,"World Cup Qualifiers, Asia, 2026",16-11-2023,Kuwait vs India,2023,India,IN,M Singh,True,Name Confusion,"['Manvir Singh', 'Naorem Mahesh Singh']",,Group 1 Fail,False
33,409,265,1188,Euros 2020,13.06.21,Netherlands vs Ukraine,2021,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
34,410,266,1190,Euros 2020,17.06.21,Netherlands vs Austria,2021,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
35,411,267,1746,Nations League 2022-2023,08.06.22,Belgium vs Poland,2022,Belgium,BE,Hazard,True,Name Confusion,"['Eden Hazard', 'Thorgan Hazard']",,Group 1 Fail,False
36,412,268,451,"Euros 2016, Qualifiers",14.10.14,Poland vs Scotland,2014,Scotland,SC,Martin,True,Name Confusion,"['Russell Martin', 'Chris Martin']",,Group 1 Fail,False
37,413,269,464,"Euros 2016, Qualifiers",07.09.15,Poland vs Gibraltar,2015,Gibraltar,GI,Casciaro,True,Name Confusion,"['Kyle Casciaro', 'Lee Casciaro']",,Group 1 Fail,False
38,415,271,2099,"World Cup Qualifiers, Africa, 2022",09-10-2021,Guinea vs Sudan,2021,Guinea,GN,M Camara,True,Name Confusion,"['Mohamed Camara', 'Mady Camara']",,Group 1 Fail,False
39,421,277,2710,"World Cup Qualifiers, Asia, 2026",12-10-2023,Maldives vs Bangladesh,2023,Bangladesh,BD,Sohel Rana,True,Name Confusion,"['Sohel Rana', 'Md Sohel Rana']",,Group 1 Fail,False
40,422,278,2719,"World Cup Qualifiers, Asia, 2026",17-10-2023,Bhutan vs Hong Kong,2023,Bhutan,BT,T Dorji,True,Name Confusion,"['Tenzin Dorji', 'Tsenda Dorji']",,Group 1 Fail,False
41,423,279,2725,"World Cup Qualifiers, Asia, 2026",12-10-2023,Nepal vs Laos,2023,Nepal,NP,A Bista,True,Name Confusion,"['Anjan Bista', 'Arik Bista']",,Group 1 Fail,False
42,438,294,2218,"World Cup Qualifiers, Africa, 2026",21-11-2023,Niger vs Zambia,2023,Niger,NE,A Moumouni,True,Name Confusion,"['Abdoul Madjid Moumouni', 'Abdoul Moumouni']",,Group 1 Fail,False
43,447,303,2740,"World Cup Qualifiers, Asia, 2026",21-11-2023,Bangladesh vs Lebanon,2023,Bangladesh,BD,Sohel Rana,True,Name Confusion,"['Sohel Rana', 'Md Sohel Rana']",,Group 1 Fail,False
44,448,304,2756,"World Cup Qualifiers, Asia, 2026",17-10-2023,Bangladesh vs Maldives,2023,Bangladesh,BD,Sohel Rana,True,Name Confusion,"['Sohel Rana', 'Md Sohel Rana']",,Group 1 Fail,False
45,449,305,609,"Euros 2016, Qualifiers",08.10.15,Albania vs Serbia,2015,Serbia,RS,Tosic,True,Name Confusion,"['Dusko Tosic', 'Zoran Tosic']",,Group 1 Fail,False
46,450,306,617,"Euros 2020, Qualifiers",12.11.20,Hungary vs Iceland,2020,Iceland,IS,Gudmundsson,True,Name Confusion,"['Jóhann Berg Gudmundsson', 'Albert Gudmundsson']",,Group 1 Fail,False
47,451,307,1747,Nations League 2022-2023,08.06.22,Wales vs Netherlands,2022,Wales,WA,Davies,True,Name Confusion,"['Ben Davies', 'Adam Davies']",,Group 1 Fail,False
48,452,308,444,"Euros 2016, Qualifiers",07.09.14,Germany vs Scotland,2014,Scotland,SC,Fletcher,True,Name Confusion,"['Darren Fletcher', 'Steven Fletcher']",,Group 1 Fail,False
49,453,309,466,"Euros 2016, Qualifiers",07.09.15,Scotland vs Germany,2015,Scotland,SC,Martin,True,Name Confusion,"['Russell Martin', 'Chris Martin']",,Group 1 Fail,False
50,454,310,2377,"World Cup Qualifiers, Asia, 2018",16-06-2015,Malaysia vs Palestine,2015,Malaysia,MY,Sa,True,Name Confusion,"['Safiq Rahim', 'Safee Sali', 'Safee Sali']",,Group 1 Fail,False
51,455,311,2384,"World Cup Qualifiers, Asia, 2018",08-09-2015,Cambodia vs Syria,2015,Cambodia,KH,Sos Suhana,True,Name Confusion,"['Souhana Sos', 'Sok Sovan']",,Group 1 Fail,False
52,456,312,1395,Nations League 2018-2020,09.06.19,Portugal vs Netherlands,2019,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
53,457,313,1399,Nations League 2018-2020,09.09.18,France vs Netherlands,2018,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
54,458,314,1403,Nations League 2018-2020,19.11.18,Germany vs Netherlands,2018,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
55,459,315,1405,Nations League 2018-2020,11.09.18,Iceland vs Belgium,2018,Belgium,BE,Hazard,True,Name Confusion,"['Eden Hazard', 'Thorgan Hazard']",,Group 1 Fail,False
56,460,316,1406,Nations League 2018-2020,12.10.18,Belgium vs Switzerland,2018,Belgium,BE,Hazard,True,Name Confusion,"['Eden Hazard', 'Thorgan Hazard']",,Group 1 Fail,False
57,461,317,1407,Nations League 2018-2020,15.10.18,Iceland vs Switzerland,2018,Iceland,IS,Gudmundsson,True,Name Confusion,"['Jóhann Berg Gudmundsson', 'Albert Gudmundsson']",,Group 1 Fail,False
58,462,318,1059,"Euros 2024, Qualifiers",09.09.23,Andorra vs Belarus,2023,Andorra,AD,Vales,True,Name Confusion,"['Marc Vales', 'Eric Vales']",,Group 1 Fail,False
59,463,319,1071,"Euros 2024, Qualifiers",18.11.23,Belarus vs Andorra,2023,Andorra,AD,Vales,True,Name Confusion,"['Marc Vales', 'Eric Vales']",,Group 1 Fail,False
60,464,320,2327,"World Cup Qualifiers, Asia, 2018",05-09-2017,Qatar vs China PR,2017,Qatar,QA,Abdulkarim Salem,True,Name Confusion,"['Abdulkareem Salem Al-Ali', 'Abdelkarim Hassan']",,Group 1 Fail,False
61,514,370,2606,"World Cup Qualifiers, Asia, 2022",10-09-2019,Malaysia vs United Arab Emirates,2019,Malaysia,MY,Sya,True,Name Confusion,"['Syahmi Safari', 'Syamer Kutty', 'Syafiq Ahmad']",,Group 1 Fail,False
62,515,371,2611,"World Cup Qualifiers, Asia, 2022",5-9-2019,Indonesia vs Malaysia,2019,Malaysia,MY,Sya,True,Name Confusion,"['Syamer Kutty', 'Syafiq Ahmad']",,Group 1 Fail,False
63,516,372,316,World Cup 2022,22.11.22,Argentina vs Saudi Arabia,2022,Argentina,AR,L Martínez,True,Name Confusion,"['Lautaro Martínez', 'Lisandro Martínez']",,Group 1 Fail,False
64,517,373,350,World Cup 2022,02.12.22,South Korea vs Portugal,2022,Portugal,PT,A Silva,True,Name Confusion,"['André Silva', 'António Silva']",,Group 1 Fail,False
65,537,393,2539,"World Cup Qualifiers, Asia, 2022",07-06-2021,Nepal vs Jordan,2021,Nepal,NP,A Bista,True,Name Confusion,"['Anjan Bista', 'Arik Bista']",,Group 1 Fail,False
66,538,394,2546,"World Cup Qualifiers, Asia, 2022",15-10-2019,India vs Bangladesh,2019,Bangladesh,BD,R Hasan,True,Name Confusion,"['Raihan Hasan', 'Robiul Hasan', 'Riyadul Hasan Rafi', 'Riyadul Hasan Rafi']",,Group 1 Fail,False
67,540,396,895,"Euros 2024, Qualifiers",19.11.23,Spain vs Georgia,2023,Georgia,GE,Lochoschvili,True,Name Confusion,"['Luka Lochoshvili', 'Giorgi Gocholeishvili']",,Group 1 Fail,False
68,551,407,1541,Nations League 2020-2021,04.09.20,Netherlands vs Poland,2020,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
69,552,408,1543,Nations League 2020-2021,07.09.20,Netherlands vs Italy,2020,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
70,553,409,1552,Nations League 2020-2021,18.11.20,Poland vs Netherlands,2020,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
71,560,416,373,"Euros 2016, Qualifiers",03.09.15,Turkey vs Latvia,2015,Latvia,LV,Visnakovs,True,Name Confusion,"['Aleksejs Visnakovs', 'Eduards Visnakovs']",,Group 1 Fail,False
72,561,417,380,"Euros 2016, Qualifiers",13.10.15,Latvia vs Kazakhstan,2015,Latvia,LV,Visnakovs,True,Name Confusion,"['Aleksejs Visnakovs', 'Eduards Visnakovs']",,Group 1 Fail,False
73,562,418,1049,"Euros 2024, Qualifiers",25.03.23,Andorra vs Romania,2023,Andorra,AD,Vales,True,Name Confusion,"['Marc Vales', 'Eric Vales']",,Group 1 Fail,False
74,571,427,728,"Euros 2020, Qualifiers",23.03.19,Spain vs Norway,2019,Norway,NO,Elyounoussi,True,Name Confusion,"['Mohamed Elyounoussi', 'Tarik Elyounoussi']",,Group 1 Fail,False
75,572,428,1771,Nations League 2022-2023,06.06.22,Iceland vs Albania,2022,Iceland,IS,Gudjohnsen,True,Name Confusion,"['Sveinn-Aron Gudjohnsen', 'Andri Gudjohnsen']",,Group 1 Fail,False
76,573,429,1775,Nations League 2022-2023,13.06.22,Iceland vs Israel,2022,Iceland,IS,Gudjohnsen,True,Name Confusion,"['Sveinn-Aron Gudjohnsen', 'Andri Gudjohnsen']",,Group 1 Fail,False
77,574,430,2636,"World Cup Qualifiers, Asia, 2022",10-10-2019,Vietnam vs Malaysia,2019,Malaysia,MY,Sya,True,Name Confusion,"['Syahmi Safari', 'Syafiq Ahmad']",,Group 1 Fail,False
78,584,440,2488,"World Cup Qualifiers, Asia, 2022",03-06-2021,Nepal vs Chinese Taipei,2021,Nepal,NP,A Bista,True,Name Confusion,"['Anjan Bista', 'Arik Bista']",,Group 1 Fail,False
79,585,441,2502,"World Cup Qualifiers, Asia, 2022",14-11-2019,Oman vs Bangladesh,2019,Bangladesh,BD,R Hasan,True,Name Confusion,"['Raihan Hasan', 'Robiul Hasan', 'Riyadul Hasan Rafi', 'Riyadul Hasan Rafi']",,Group 1 Fail,False
80,586,442,2516,"World Cup Qualifiers, Asia, 2022",11-06-2021,Nepal vs Australia,2021,Nepal,NP,A Bista,True,Name Confusion,"['Anjan Bista', 'Arik Bista']",,Group 1 Fail,False
81,587,443,275,World Cup 2018,18.06.18,Belgium vs Panama,2018,Belgium,BE,Hazard,True,Name Confusion,"['Eden Hazard', 'Thorgan Hazard']",,Group 1 Fail,False
82,588,444,293,World Cup 2022,09.12.22,Netherlands vs Argentina,2022,Netherlands,NL,de Jong,True,Name Confusion,"['Luuk de Jong', 'Frenkie de Jong']",,Group 1 Fail,False
83,596,452,571,"Euros 2016, Qualifiers",13.10.14,Norway vs Bulgaria,2014,Bulgaria,BG,Minev,True,Name Confusion,"['Veselin Minev', 'Yordan Minev']",,Group 1 Fail,False
84,604,460,481,"Euros 2016, Qualifiers",14.10.14,San Marino vs Switzerland,2014,San Marino,SM,Gasperoni,True,Name Confusion,"['Alex Gasperoni', 'Lorenzo Gasperoni']",,Group 1 Fail,False
85,607,463,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,Bjarnason,True,Name Confusion,"['Birkir Bjarnason', 'Elmar Bjarnason']",,Group 1 Fail,False
86,609,465,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,Vitaioli,True,Name Confusion,"['Fabio Vitaioli', 'Matteo Vitaioli']",,Group 1 Fail,False
87,639,495,390,"Euros 2016, Qualifiers",13.10.14,Wales vs Cyprus,2014,Wales,WA,Taylor,True,Name Confusion,"['Neil Taylor', 'Jake Taylor']",,Group 1 Fail,False
88,644,500,467,"Euros 2016, Qualifiers",08.10.15,Georgia vs Gibraltar,2015,Gibraltar,GI,Perez,True,Name Confusion,"['Brian Perez', 'Jordan Perez']",,Group 1 Fail,False
89,646,502,471,"Euros 2016, Qualifiers",11.10.15,Gibraltar vs Scotland,2015,Gibraltar,GI,Duarte,True,Name Confusion,"['Daniel Duarte', 'John-Paul Duarte']",,Group 1 Fail,False
90,649,505,447,"Euros 2016, Qualifiers",11.10.14,Scotland vs Georgia,2014,Scotland,SC,Martin,True,Name Confusion,"['Russell Martin', 'Chris Martin']",,Group 1 Fail,False
91,679,535,569,"Euros 2016, Qualifiers",13.10.14,Croatia vs Azerbaijan,2014,Azerbaijan,AZ,Huseynov,True,Name Confusion,"['Badavi Hüseynov', 'Cavid Hüseynov']",,Group 1 Fail,False
92,741,597,1930,"World Cup Qualifiers, Africa, 2018",13-10-2015,Niger vs Somalia,2015,Somalia,SO,A Ahmed,True,Name Confusion,"['Abdinasir Yusuf Ahmed', 'Ahmed Abubakar Shegow']",,Group 1 Fail,False
93,742,598,1930,"World Cup Qualifiers, Africa, 2018",13-10-2015,Niger vs Somalia,2015,Somalia,SO,A Mohamed,True,Name Confusion,"['Abas Amin Mohamed', 'Abas Amin Mohamed', 'Abdiqani Mohamed Bule']",,Group 1 Fail,False
94,784,640,2394,"World Cup Qualifiers, Asia, 2018",17-11-2015,North Korea vs Bahrain,2015,Bahrain,BH,Ali Al Sa,True,Name Confusion,"['Sayed Ali Hashem', 'Sayed Ali Hashem']",,Group 1 Fail,False
95,813,669,2203,"World Cup Qualifiers, Africa, 2026",16-11-2023,Algeria vs Somalia,2023,Somalia,SO,A Mohamed,True,Name Confusion,"['Abdi Mohamed', 'Farhan Mohamed Ahmed', 'Mahad Mohamed Abdulkadir']",,Group 1 Fail,False
96,821,677,1064,"Euros 2024, Qualifiers",12.09.23,Romania vs Kosovo,2023,Kosovo,XK,Rrahmani,True,Name Confusion,"['Amir Rrahmani', 'Albion Rrahmani']",,Group 1 Fail,False
97,844,3,2267,"World Cup Qualifiers, Asia, 2018",08-09-2015,Chinese Taipei vs Vietnam,2015,Vietnam,VN,Nguyn Thanh Hin,True,Name Confusion,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",,Large Dataset Said 0 Complete,False
98,845,4,2274,"World Cup Qualifiers, Asia, 2018",08-10-2015,Vietnam vs Iraq,2015,Vietnam,VN,Nguyn Thanh Hin,True,Name Confusion,"['Tien Thanh Dinh', 'Xuan Thanh Nguyen']",,Large Dataset Said 0 Complete,False
99,846,5,3653,"Gold Cup, 2013",16-07-2013,Honduras vs Trinidad and Tobago,2013,Honduras,HN,J Palacios,True,Name Confusion,"['Jerry Palacios', 'Johnny Palacios']",,Large Dataset Said 0 Complete,False
100,847,6,3653,"Gold Cup, 2013",16-07-2013,Honduras vs Trinidad and Tobago,2013,Honduras,HN,J Palacios,True,Name Confusion,"['Jerry Palacios', 'Johnny Palacios']",,Large Dataset Said 0 Complete,False
101,849,8,2194,"World Cup Qualifiers, Africa, 2022",07-09-2021,Angola vs Libya,2021,Libya,LY,Mohammad Zubya,True,Name Confusion,"['Mohamed Zaabia', 'Mohammed Al Tuhami']",,Large Dataset Said 0 Complete,False
102,850,9,2198,"World Cup Qualifiers, Africa, 2022",12-11-2021,Gabon vs Libya,2021,Libya,LY,Mohammad Zubya,True,Name Confusion,"['Mohamed Zaabia', 'Mohammed Al Tuhami']",,Large Dataset Said 0 Complete,False
103,855,14,2118,"World Cup Qualifiers, Africa, 2022",01-09-2021,Libya vs Gabon,2021,Libya,LY,Mohammad Zubya,True,Name Confusion,"['Mohamed Zaabia', 'Mohammed Al Tuhami']",,Large Dataset Said 0 Complete,False
104,859,18,2926,"World Cup Qualifiers, Europe, 2014",15-10-2013,San Marino vs Ukraine,2013,San Marino,SM,A Della Valle,True,Name Confusion,"['Alessandro Della Valle', 'Alex Della Valle']",,Large Dataset Said 0 Complete,False
105,875,34,2834,"World Cup Qualifiers, Europe, 2014",26-03-2013,Poland vs San Marino,2013,San Marino,SM,A Della Valle,True,Name Confusion,"['Alessandro Della Valle', 'Alex Della Valle']",,Large Dataset Said 0 Complete,False
106,876,35,1986,"World Cup Qualifiers, Africa, 2018",10-10-2015,Central African Republic vs Madagascar,2015,Madagascar,MG,G Randrianarisoa,True,Name Confusion,"['Tahiana Randrianarisoa', 'Jean Dieu Randrianasolo']",,Large Dataset Said 0 Complete,False
107,883,42,2282,"World Cup Qualifiers, Asia, 2018",11-06-2015,India vs Oman,2015,India,IN,S Singh,True,Name Confusion,"['Sehnaj Singh', 'Seityasen Singh']",,Large Dataset Said 0 Complete,False
108,885,44,2157,"World Cup Qualifiers, Africa, 2022",05-09-2019,Somalia vs Zimbabwe,2019,Somalia,SO,M Ali Mohamed,True,Name Confusion,"['Mohamed Ali Mohamed', 'Mohamed Abukar Mohamed']",,Large Dataset Said 0 Complete,False
109,886,45,2163,"World Cup Qualifiers, Africa, 2022",08-10-2021,Djibouti vs Burkina Faso,2021,Djibouti,DJ,M Mohamed,True,Name Confusion,"['Mohamed Bourhan Mohamed', 'Mohamed Fouad Mohamed']",,Large Dataset Said 0 Complete,False
110,887,46,2165,"World Cup Qualifiers, Africa, 2022",11-10-2021,Burkina Faso vs Djibouti,2021,Djibouti,DJ,M Mohamed,True,Name Confusion,"['Mohamed Bourhan Mohamed', 'Mohamed Fouad Mohamed']",,Large Dataset Said 0 Complete,False
