,Unnamed: 0,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,Lookup Still Required?,Lookup Return Case,Name(s) Found,Translated Name,Original Case,To Remove
10,10,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,19. М. Тиам,True,Failed Using Name Looking at Season and Season +-1,['Mame Thiam'],M Tiam,Cyrillic Dudes,False
11,11,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,20. Реми Нассалан,True,Failed Using Name Looking at Season and Season +-1,['Rémi Nassalan'],Remi Nassalan,Cyrillic Dudes,False
12,12,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,7. Ваджи,True,Failed Using Name Looking at Season and Season +-1,['Ibrahima Wadji'],Vaji,Cyrillic Dudes,False
13,13,16,"U-20 World Cup, 2015",30.05.15,New Zealand U-20 vs Ukraine U-20,2015,New Zealand,NZ,20. Биллингсли,True,Failed Using Name Looking at Season and Season +-1,['Noah Billingsley'],Billingsley,Cyrillic Dudes,False
14,14,18,"U-20 World Cup, 2015",02.06.15,Myanmar U-20 vs Ukraine U-20,2015,Myanmar,MM,8. Маунг Маунг Сое,True,Failed Using Name Looking at Season and Season +-1,['Maung Maung Soe'],Maung Maung Soe,Cyrillic Dudes,False
15,15,21,"U-20 World Cup, 2015",05.06.15,Ukraine U-20 vs United States U-20,2015,United States,US,2. Мур,True,Failed Using Name Looking at Season and Season +-1,['Shaq Moore'],Moore,Cyrillic Dudes,False
16,16,21,"U-20 World Cup, 2015",05.06.15,Ukraine U-20 vs United States U-20,2015,United States,US,18. Палмер-Браун,True,Failed Using Name Looking at Season and Season +-1,['Erik Palmer-Brown'],Palmer Brown,Cyrillic Dudes,False
17,17,581,"Euros 2016, Qualifiers",03.09.15,Azerbaijan vs Croatia,2015,Azerbaijan,AZ,14. Р.Ф.Садыгов,True,Failed Using Name Looking at Season and Season +-1,['Arif Isayev'],R F Sadygov,Cyrillic Dudes,False
18,18,637,"Euros 2020, Qualifiers",10.09.19,Montenegro vs Czech,2019,Montenegro,ME,3. Больевич В.,True,Failed Using Name Looking at Season and Season +-1,['Vladimir Boljevic'],V Bolyevich,Cyrillic Dudes,False
19,19,405,"Euros 2016, Qualifiers",06.09.15,Bosnia-Herzegovina vs Andorra,2015,Bosnia,BA,11. Джеко,True,Failed Using Name Looking at Season and Season +-1,['Smail Prevljak'],Jacko,Cyrillic Dudes,False
20,20,405,"Euros 2016, Qualifiers",06.09.15,Bosnia-Herzegovina vs Andorra,2015,Andorra,AD,3. Сан-Николас,True,Failed Using Name Looking at Season and Season +-1,['Luigi San Nicolas'],San Nicolas,Cyrillic Dudes,False
21,21,405,"Euros 2016, Qualifiers",06.09.15,Bosnia-Herzegovina vs Andorra,2015,Andorra,AD,21. Гарсия М.,True,Failed Using Name Looking at Season and Season +-1,['Christian Garcia'],M Garcia,Cyrillic Dudes,False
22,22,407,"Euros 2016, Qualifiers",10.10.15,Andorra vs Belgium,2015,Andorra,AD,3. Сан-Николас,True,Failed Using Name Looking at Season and Season +-1,['Luigi San Nicolas'],San Nicolas,Cyrillic Dudes,False
23,23,481,"Euros 2016, Qualifiers",14.10.14,San Marino vs Switzerland,2014,Switzerland,CH,17. Касами,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Cash desks,Cyrillic Dudes,False
24,24,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,6. Сигурдссон Р.,True,Failed Using Name Looking at Season and Season +-1,['Arnór Sigurdsson'],R Sigurdsson,Cyrillic Dudes,False
25,25,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,8. Б. Бьярнасон,True,Failed Using Name Looking at Season and Season +-1,['Aron Bjarnason'],B Bjarnason,Cyrillic Dudes,False
26,26,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Turkey,TR,11. Гекхан,True,Failed Using Name Looking at Season and Season +-1,['Gökhan Akkan'],Gekhan,Cyrillic Dudes,False
27,27,363,"Euros 2016, Qualifiers",16.11.14,Czech vs Iceland,2014,Iceland,IS,18. Э.Бьярнасон,True,Failed Using Name Looking at Season and Season +-1,['Aron Bjarnason'],A Bjarnason,Cyrillic Dudes,False
28,28,1458,Nations League 2018-2020,15.10.18,Estonia vs Hungary,2018,Hungary,HU,5. Барат,True,Failed Using Name Looking at Season and Season +-1,['Gábor Nagy'],Going,Cyrillic Dudes,False
29,29,1461,Nations League 2018-2020,15.11.18,Hungary vs Estonia,2018,Hungary,HU,5. Барат,True,Failed Using Name Looking at Season and Season +-1,['Gábor Nagy'],Going,Cyrillic Dudes,False
30,30,1462,Nations League 2018-2020,18.11.18,Hungary vs Finland,2018,Hungary,HU,5. Барат,True,Failed Using Name Looking at Season and Season +-1,['Gábor Nagy'],Going,Cyrillic Dudes,False
31,31,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,6. Кирикеш,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Introduction,Cyrillic Dudes,False
32,32,21,"U-20 World Cup, 2015",05.06.15,Ukraine U-20 vs United States U-20,2015,United States,US,15. Дельгадо,True,Failed Using Name Looking at Season and Season +-1,['Mark Delgado'],Delgado,Cyrillic Dudes,False
33,33,21,"U-20 World Cup, 2015",05.06.15,Ukraine U-20 vs United States U-20,2015,United States,US,11. Джеймисон,True,Failed Using Name Looking at Season and Season +-1,['Bradford Jamieson IV'],Jamison,Cyrillic Dudes,False
34,34,21,"U-20 World Cup, 2015",05.06.15,Ukraine U-20 vs United States U-20,2015,United States,US,20. Аллен,True,Failed Using Name Looking at Season and Season +-1,['Jordan Allen'],Allen,Cyrillic Dudes,False
35,35,21,"U-20 World Cup, 2015",05.06.15,Ukraine U-20 vs United States U-20,2015,United States,US,10. Сонора,True,Failed Using Name Looking at Season and Season +-1,['Alan Soñora'],Sonora,Cyrillic Dudes,False
36,36,52,U-20 World Cup 2019,15.06.19,Ukraine U-20 vs South Korea U-20,2019,Korea Republic,KR,2. Хван Таэхён,True,Failed Using Name Looking at Season and Season +-1,['Tae-Hyeon Hwang'],Hwang Taehyun,Cyrillic Dudes,False
37,37,52,U-20 World Cup 2019,15.06.19,Ukraine U-20 vs South Korea U-20,2019,Korea Republic,KR,4. Ли Джисол,True,Failed Using Name Looking at Season and Season +-1,['Ji-Sol Lee'],Lee Jisol,Cyrillic Dudes,False
38,38,52,U-20 World Cup 2019,15.06.19,Ukraine U-20 vs South Korea U-20,2019,Korea Republic,KR,5. Ким Хьюнву,True,Failed Using Name Looking at Season and Season +-1,['Kim Hyun-Woo'],Kim Hyunwoo,Cyrillic Dudes,False
39,39,52,U-20 World Cup 2019,15.06.19,Ukraine U-20 vs South Korea U-20,2019,Korea Republic,KR,3. Ли Джэик,True,Failed Using Name Looking at Season and Season +-1,['Jae-Ik Lee'],Lee Jayick,Cyrillic Dudes,False
40,40,52,U-20 World Cup 2019,15.06.19,Ukraine U-20 vs South Korea U-20,2019,Korea Republic,KR,6. Ким Чжунмин,True,Failed Using Name Looking at Season and Season +-1,['Kim Jung-Mi'],Kim Zhongming,Cyrillic Dudes,False
41,41,52,U-20 World Cup 2019,15.06.19,Ukraine U-20 vs South Korea U-20,2019,Korea Republic,KR,19. Чой Джун,True,Failed Using Name Looking at Season and Season +-1,['Jun Choi'],Choi Jun,Cyrillic Dudes,False
42,42,52,U-20 World Cup 2019,15.06.19,Ukraine U-20 vs South Korea U-20,2019,Korea Republic,KR,20. Ким Сеюн,True,Failed Using Name Looking at Season and Season +-1,['Kim Se-Yun'],Kim Seyun,Cyrillic Dudes,False
43,43,52,U-20 World Cup 2019,15.06.19,Ukraine U-20 vs South Korea U-20,2019,Korea Republic,KR,9. О Сехун,True,Failed Using Name Looking at Season and Season +-1,['Sehun Oh'],O Sehun,Cyrillic Dudes,False
44,44,53,U-20 World Cup 2019,14.06.19,Italy U-20 vs Ecuador U-20,2019,Ecuador,EC,10. Ресабала,True,Failed Using Name Looking at Season and Season +-1,['Jordan Rezabala'],Resabala,Cyrillic Dudes,False
45,45,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Ecuador,EC,10. Ресабала,True,Failed Using Name Looking at Season and Season +-1,['Jordan Rezabala'],Resabala,Cyrillic Dudes,False
46,46,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Ecuador,EC,16. Кинтеро,True,Failed Using Name Looking at Season and Season +-1,['Sergio Quintero'],Kintero,Cyrillic Dudes,False
47,47,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Korea Republic,KR,1. Квангён Ли,True,Failed Using Name Looking at Season and Season +-1,['Lee Gwang-Yeon'],Gwangkyung Lee,Cyrillic Dudes,False
48,48,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Korea Republic,KR,2. Хванг Тэ Хён,True,Failed Using Name Looking at Season and Season +-1,['Tae-Hyeon Hwang'],Hwang Tae Hyun,Cyrillic Dudes,False
49,49,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Korea Republic,KR,3. Ли Чже Ик,True,Failed Using Name Looking at Season and Season +-1,['Jae-Ik Lee'],Li Zhe Ik,Cyrillic Dudes,False
50,50,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Korea Republic,KR,4. Ли Чжи Сол,True,Failed Using Name Looking at Season and Season +-1,['Ji-Sol Lee'],Li Zhi Sol,Cyrillic Dudes,False
51,51,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Korea Republic,KR,5. Хён-Ву Ким,True,Failed Using Name Looking at Season and Season +-1,['Kim Hyun-Woo'],Hyunwoo Kim,Cyrillic Dudes,False
52,52,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Korea Republic,KR,19. Чой Джун,True,Failed Using Name Looking at Season and Season +-1,['Jun Choi'],Choi Jun,Cyrillic Dudes,False
53,53,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Korea Republic,KR,13. Ко Чже Хён,True,Failed Using Name Looking at Season and Season +-1,['Jae-Hyeon Ko'],Gojaehyun,Cyrillic Dudes,False
54,54,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Korea Republic,KR,15. Хо Джин Чжон,True,Failed Using Name Looking at Season and Season +-1,['Ho-Jin Jeong'],Ho Jin Jeong,Cyrillic Dudes,False
55,55,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Korea Republic,KR,20. Ким Се Юн,True,Failed Using Name Looking at Season and Season +-1,['Kim Se-Yun'],Kim SeYun,Cyrillic Dudes,False
56,56,55,U-20 World Cup 2019,11.06.19,Ecuador U-20 vs South Korea U-20,2019,Korea Republic,KR,9. Се-Хун О,True,Failed Using Name Looking at Season and Season +-1,['Sehun Oh'],O SeHun,Cyrillic Dudes,False
57,57,56,U-20 World Cup 2019,07.06.19,Colombia U-20 vs Ukraine U-20,2019,Colombia,CO,13. Мьер,True,Failed Using Name Looking at Season and Season +-1,['Kevin Mier'],Myer,Cyrillic Dudes,False
58,58,56,U-20 World Cup 2019,07.06.19,Colombia U-20 vs Ukraine U-20,2019,Colombia,CO,4. Арройо,True,Failed Using Name Looking at Season and Season +-1,['Anderson Arroyo'],Arroyo,Cyrillic Dudes,False
59,59,56,U-20 World Cup 2019,07.06.19,Colombia U-20 vs Ukraine U-20,2019,Colombia,CO,14. Пальма,True,Failed Using Name Looking at Season and Season +-1,['Juan Palma'],Palm Tree,Cyrillic Dudes,False
60,60,56,U-20 World Cup 2019,07.06.19,Colombia U-20 vs Ukraine U-20,2019,Colombia,CO,16. Вера,True,Failed Using Name Looking at Season and Season +-1,['Brayan Vera'],Faith,Cyrillic Dudes,False
61,61,56,U-20 World Cup 2019,07.06.19,Colombia U-20 vs Ukraine U-20,2019,Colombia,CO,5. Баланта,True,Failed Using Name Looking at Season and Season +-1,['Andres Balanta'],Balanta,Cyrillic Dudes,False
62,62,56,U-20 World Cup 2019,07.06.19,Colombia U-20 vs Ukraine U-20,2019,Colombia,CO,6. Переа,True,Failed Using Name Looking at Season and Season +-1,['Luis Amaranto Perea'],Perea,Cyrillic Dudes,False
63,63,56,U-20 World Cup 2019,07.06.19,Colombia U-20 vs Ukraine U-20,2019,Colombia,CO,8. Альварадо,True,Failed Using Name Looking at Season and Season +-1,['Jaime Alvarado Hoyos'],Alvarado,Cyrillic Dudes,False
64,64,57,U-20 World Cup 2019,07.06.19,Italy U-20 vs Mali U-20,2019,Mali,ML,2. Конан,True,Failed Using Name Looking at Season and Season +-1,['Arnaud Konan'],Conan,Cyrillic Dudes,False
65,65,57,U-20 World Cup 2019,07.06.19,Italy U-20 vs Mali U-20,2019,Mali,ML,5. Фофана,True,Failed Using Name Looking at Season and Season +-1,['Babou Fofana'],Fofana,Cyrillic Dudes,False
66,66,57,U-20 World Cup 2019,07.06.19,Italy U-20 vs Mali U-20,2019,Mali,ML,13. Кануте,True,Failed Using Name Looking at Season and Season +-1,['Clement Kanoute'],Kanute,Cyrillic Dudes,False
67,67,57,U-20 World Cup 2019,07.06.19,Italy U-20 vs Mali U-20,2019,Mali,ML,6. Диаките,True,Failed Using Name Looking at Season and Season +-1,['Ousmane Diakite'],Diakite,Cyrillic Dudes,False
68,68,57,U-20 World Cup 2019,07.06.19,Italy U-20 vs Mali U-20,2019,Mali,ML,14. Сиссоко,True,Failed Using Name Looking at Season and Season +-1,['Sambou Sissoko'],Sissoko,Cyrillic Dudes,False
69,69,57,U-20 World Cup 2019,07.06.19,Italy U-20 vs Mali U-20,2019,Mali,ML,7. Драме,True,Failed Using Name Looking at Season and Season +-1,['Hadji Drame'],Drama,Cyrillic Dudes,False
70,70,57,U-20 World Cup 2019,07.06.19,Italy U-20 vs Mali U-20,2019,Mali,ML,9. Коне,True,Failed Using Name Looking at Season and Season +-1,['Ibrahim Koné'],Koné,Cyrillic Dudes,False
71,71,58,U-20 World Cup 2019,08.06.19,United States U-20 vs Ecuador U-20,2019,United States,US,12. Очоа,True,Failed Using Name Looking at Season and Season +-1,['Chris Gloster'],David Ochoa,Cyrillic Dudes,False
72,72,58,U-20 World Cup 2019,08.06.19,United States U-20 vs Ecuador U-20,2019,United States,US,13. Кейта,True,Failed Using Name Looking at Season and Season +-1,['Aboubacar Keita'],Keita,Cyrillic Dudes,False
73,73,58,U-20 World Cup 2019,08.06.19,United States U-20 vs Ecuador U-20,2019,United States,US,6. Даркин,True,Failed Using Name Looking at Season and Season +-1,['Christopher Durkin'],Durkin,Cyrillic Dudes,False
74,74,58,U-20 World Cup 2019,08.06.19,United States U-20 vs Ecuador U-20,2019,United States,US,8. Мендес,True,Failed Using Name Looking at Season and Season +-1,['Alex Méndez'],Mendes,Cyrillic Dudes,False
75,75,58,U-20 World Cup 2019,08.06.19,United States U-20 vs Ecuador U-20,2019,United States,US,17. Де ла Фуэнте,True,Failed Using Name Looking at Season and Season +-1,['Konrad De La Fuente'],Dela Fuente,Cyrillic Dudes,False
76,76,58,U-20 World Cup 2019,08.06.19,United States U-20 vs Ecuador U-20,2019,Ecuador,EC,10. Ресабала,True,Failed Using Name Looking at Season and Season +-1,['Jordan Rezabala'],Resabala,Cyrillic Dudes,False
77,77,58,U-20 World Cup 2019,08.06.19,United States U-20 vs Ecuador U-20,2019,Ecuador,EC,16. Кинтеро,True,Failed Using Name Looking at Season and Season +-1,['Sergio Quintero'],Kintero,Cyrillic Dudes,False
78,78,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Korea Republic,KR,1. Квангён Ли,True,Failed Using Name Looking at Season and Season +-1,['Lee Gwang-Yeon'],Gwangkyung Lee,Cyrillic Dudes,False
79,79,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Korea Republic,KR,2. Хванг Тэ Хён,True,Failed Using Name Looking at Season and Season +-1,['Tae-Hyeon Hwang'],Hwang Tae Hyun,Cyrillic Dudes,False
80,80,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Korea Republic,KR,3. Ли Чже Ик,True,Failed Using Name Looking at Season and Season +-1,['Jae-Ik Lee'],Li Zhe Ik,Cyrillic Dudes,False
81,81,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Korea Republic,KR,4. Ли Чжи Сол,True,Failed Using Name Looking at Season and Season +-1,['Ji-Sol Lee'],Li Zhi Sol,Cyrillic Dudes,False
82,82,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Korea Republic,KR,5. Хён-Ву Ким,True,Failed Using Name Looking at Season and Season +-1,['Kim Hyun-Woo'],Hyunwoo Kim,Cyrillic Dudes,False
83,83,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Korea Republic,KR,19. Чой Джун,True,Failed Using Name Looking at Season and Season +-1,['Jun Choi'],Choi Jun,Cyrillic Dudes,False
84,84,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Korea Republic,KR,7. Седжин Чон,True,Failed Using Name Looking at Season and Season +-1,['Se-Jin Jeon'],Sejin Chon,Cyrillic Dudes,False
85,85,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Korea Republic,KR,14. Та Джун Пак,True,Failed Using Name Looking at Season and Season +-1,['Tae-Jun Park'],Ta Jun Pak,Cyrillic Dudes,False
86,86,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Korea Republic,KR,15. Хо Джин Чжон,True,Failed Using Name Looking at Season and Season +-1,['Ho-Jin Jeong'],Ho Jin Jeong,Cyrillic Dudes,False
87,87,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Korea Republic,KR,9. Се-Хун О,True,Failed Using Name Looking at Season and Season +-1,['Sehun Oh'],O SeHun,Cyrillic Dudes,False
88,88,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Senegal,SN,2. Н'Диайе,True,Failed Using Name Looking at Season and Season +-1,['Moussa NDiaye'],N Diaye,Cyrillic Dudes,False
89,89,59,U-20 World Cup 2019,08.06.19,South Korea U-20 vs Senegal U-20,2019,Senegal,SN,5. Ав,True,Failed Using Name Looking at Season and Season +-1,['Souleymane Aw'],Av,Cyrillic Dudes,False
90,90,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Hungary,HU,9. Тежер,True,Failed Using Name Looking at Season and Season +-1,['Szilveszter Hangya'],Tezher,Cyrillic Dudes,False
91,91,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Finland,FI,4. Тойво,True,Failed Using Name Looking at Season and Season +-1,['Henri Toivomäki'],Toivo,Cyrillic Dudes,False
92,92,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Romania,RO,6. Кирикеш,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Introduction,Cyrillic Dudes,False
93,93,511,"Euros 2016, Qualifiers",14.10.14,Greece vs Northern Ireland,2014,Greece,GR,17. Анастасиадис,True,Failed Using Name Looking at Season and Season +-1,['Anastasios Donis'],Anastasiadis,Cyrillic Dudes,False
94,94,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,9. Серенсен,True,Failed Using Name Looking at Season and Season +-1,['Hanus Sørensen'],Serensen,Cyrillic Dudes,False
95,95,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,6. Кирикеш,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Introduction,Cyrillic Dudes,False
96,96,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,14. С. Ванхамар,True,Failed Using Name Looking at Season and Season +-1,['Gunnar Vatnhamar'],Swanhamar,Cyrillic Dudes,False
97,97,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,9. Серенсен,True,Failed Using Name Looking at Season and Season +-1,['Hanus Sørensen'],Serensen,Cyrillic Dudes,False
98,98,217,World Cup 2014,18.06.14,Russia vs South Korea,2014,Korea Republic,KR,12. Ли Ён,True,Failed Using Name Looking at Season and Season +-1,['Lee Yong'],Li Yeon,Cyrillic Dudes,False
99,99,219,World Cup 2014,22.06.14,South Korea vs Algeria,2014,Algeria,DZ,18. Джабу,True,Failed Using Name Looking at Season and Season +-1,['Jaouen Hadjam'],Jabu,Cyrillic Dudes,False
100,100,220,World Cup 2014,26.06.14,South Korea vs Belgium,2014,Belgium,BE,15. ван Буйтен,True,Failed Using Name Looking at Season and Season +-1,['Van Buyten'],van Buyten,Cyrillic Dudes,False
101,101,221,World Cup 2014,26.06.14,Algeria vs Russia,2014,Algeria,DZ,18. Джабу,True,Failed Using Name Looking at Season and Season +-1,['Jaouen Hadjam'],Jabu,Cyrillic Dudes,False
102,102,276,World Cup 2018,18.06.18,Tunisia vs England,2018,Tunisia,TN,13. Сасси А.,True,Failed Using Name Looking at Season and Season +-1,['Mossaab Sassi'],A  Sassi,Cyrillic Dudes,False
103,103,277,World Cup 2018,23.06.18,Belgium vs Tunisia,2018,Tunisia,TN,13. Сасси А.,True,Failed Using Name Looking at Season and Season +-1,['Mossaab Sassi'],A  Sassi,Cyrillic Dudes,False
104,104,280,World Cup 2018,28.06.18,Panama vs Tunisia,2018,Tunisia,TN,13. Сасси А.,True,Failed Using Name Looking at Season and Season +-1,['Mossaab Sassi'],A  Sassi,Cyrillic Dudes,False
105,105,1477,Nations League 2018-2020,07.09.18,Romania vs Montenegro,2018,Montenegro,ME,3. Больевич В.,True,Failed Using Name Looking at Season and Season +-1,['Vladimir Boljevic'],V Bolyevich,Cyrillic Dudes,False
106,106,385,"Euros 2016, Qualifiers",10.10.14,Belgium vs Andorra,2014,Andorra,AD,13. Поль,True,Failed Using Name Looking at Season and Season +-1,['Eric de Pablos'],Paul,Cyrillic Dudes,False
107,107,387,"Euros 2016, Qualifiers",10.10.14,Wales vs Bosnia-Herzegovina,2014,Wales,WA,18. Уильямс Д.,True,Failed Using Name Looking at Season and Season +-1,['Jonny Williams'],D Williams,Cyrillic Dudes,False
108,108,387,"Euros 2016, Qualifiers",10.10.14,Wales vs Bosnia-Herzegovina,2014,Bosnia,BA,13. Муйджа,True,Failed Using Name Looking at Season and Season +-1,['Nihad Mujakic'],Muija,Cyrillic Dudes,False
109,109,387,"Euros 2016, Qualifiers",10.10.14,Wales vs Bosnia-Herzegovina,2014,Bosnia,BA,11. Джеко,True,Failed Using Name Looking at Season and Season +-1,['Smail Prevljak'],Jacko,Cyrillic Dudes,False
110,110,388,"Euros 2016, Qualifiers",13.10.14,Andorra vs Israel,2014,Israel,IL,4. Битон,True,Failed Using Name Looking at Season and Season +-1,['Oren Biton'],Bitoon,Cyrillic Dudes,False
111,111,464,"Euros 2016, Qualifiers",07.09.15,Poland vs Gibraltar,2015,Gibraltar,GI,19. Д. Кумбс,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],D Kumbs,Cyrillic Dudes,False
112,112,412,"Euros 2016, Qualifiers",13.10.15,Wales vs Andorra,2015,Andorra,AD,3. Сан-Николас,True,Failed Using Name Looking at Season and Season +-1,['Luigi San Nicolas'],San Nicolas,Cyrillic Dudes,False
113,113,446,"Euros 2016, Qualifiers",11.10.14,Ireland vs Gibraltar,2014,Gibraltar,GI,3. Д.Чиполина,True,Failed Using Name Looking at Season and Season +-1,['Kenneth Chipolina'],Dchipolina,Cyrillic Dudes,False
114,114,450,"Euros 2016, Qualifiers",14.10.14,Gibraltar vs Georgia,2014,Gibraltar,GI,3. Д.Чиполина,True,Failed Using Name Looking at Season and Season +-1,['Kenneth Chipolina'],Dchipolina,Cyrillic Dudes,False
115,115,374,"Euros 2016, Qualifiers",06.09.15,Latvia vs Czech,2015,Czech,CZ,5. Прохазка,True,Failed Using Name Looking at Season and Season +-1,['Lukas Kalvach'],A walk,Cyrillic Dudes,False
116,116,590,"Euros 2016, Qualifiers",13.10.15,Bulgaria vs Azerbaijan,2015,Azerbaijan,AZ,17. Джафаров,True,Failed Using Name Looking at Season and Season +-1,['Emil Safarov'],Jafarov,Cyrillic Dudes,False
117,117,597,"Euros 2016, Qualifiers",14.10.14,Denmark vs Portugal,2014,Portugal,PT,19. Тьягу,True,Failed Using Name Looking at Season and Season +-1,['Tiago'],Tyagu,Cyrillic Dudes,False
118,118,602,"Euros 2016, Qualifiers",29.03.15,Portugal vs Serbia,2015,Portugal,PT,13. Бозингва,True,Failed Using Name Looking at Season and Season +-1,['Paulinho'],Playing,Cyrillic Dudes,False
