,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,Lookup Still Required?,Lookup Return Case,Name(s) Found,Translated Name,Original Case,To Remove
37,387,"Euros 2016, Qualifiers",10.10.14,Wales vs Bosnia-Herzegovina,2014,Wales,WA,18. Уильямс Д.,True,Failed Using Name Looking at Season and Season +-1,['Jonny Williams'],D Williams,Cyrillic Dudes,False
38,387,"Euros 2016, Qualifiers",10.10.14,Wales vs Bosnia-Herzegovina,2014,Bosnia,BA,13. Муйджа,True,Failed Using Name Looking at Season and Season +-1,['Nihad Mujakic'],Muija,Cyrillic Dudes,False
39,387,"Euros 2016, Qualifiers",10.10.14,Wales vs Bosnia-Herzegovina,2014,Bosnia,BA,11. Джеко,True,Failed Using Name Looking at Season and Season +-1,['Smail Prevljak'],Jacko,Cyrillic Dudes,False
40,388,"Euros 2016, Qualifiers",13.10.14,Andorra vs Israel,2014,Israel,IL,4. Битон,True,Failed Using Name Looking at Season and Season +-1,['Oren Biton'],Bitoon,Cyrillic Dudes,False
41,464,"Euros 2016, Qualifiers",07.09.15,Poland vs Gibraltar,2015,Gibraltar,GI,19. Д. Кумбс,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],D Kumbs,Cyrillic Dudes,False
42,412,"Euros 2016, Qualifiers",13.10.15,Wales vs Andorra,2015,Andorra,AD,3. Сан-Николас,True,Failed Using Name Looking at Season and Season +-1,['Luigi San Nicolas'],San Nicolas,Cyrillic Dudes,False
43,446,"Euros 2016, Qualifiers",11.10.14,Ireland vs Gibraltar,2014,Gibraltar,GI,3. Д.Чиполина,True,Failed Using Name Looking at Season and Season +-1,['Kenneth Chipolina'],Dchipolina,Cyrillic Dudes,False
44,450,"Euros 2016, Qualifiers",14.10.14,Gibraltar vs Georgia,2014,Gibraltar,GI,3. Д.Чиполина,True,Failed Using Name Looking at Season and Season +-1,['Kenneth Chipolina'],Dchipolina,Cyrillic Dudes,False
45,374,"Euros 2016, Qualifiers",06.09.15,Latvia vs Czech,2015,Czech,CZ,5. Прохазка,True,Failed Using Name Looking at Season and Season +-1,['Lukas Kalvach'],A walk,Cyrillic Dudes,False
46,590,"Euros 2016, Qualifiers",13.10.15,Bulgaria vs Azerbaijan,2015,Azerbaijan,AZ,17. Джафаров,True,Failed Using Name Looking at Season and Season +-1,['Emil Safarov'],Jafarov,Cyrillic Dudes,False
47,597,"Euros 2016, Qualifiers",14.10.14,Denmark vs Portugal,2014,Portugal,PT,19. Тьягу,True,Failed Using Name Looking at Season and Season +-1,['Tiago'],Tyagu,Cyrillic Dudes,False
48,602,"Euros 2016, Qualifiers",29.03.15,Portugal vs Serbia,2015,Portugal,PT,13. Бозингва,True,Failed Using Name Looking at Season and Season +-1,['Paulinho'],Playing,Cyrillic Dudes,False
49,425,"Euros 2016, Qualifiers",27.03.15,North Macedonia vs Belarus,2015,N. Macedonia,MK,5. Маркоски,True,Failed Using Name Looking at Season and Season +-1,['Riste Markoski'],Riste Markoski,Cyrillic Dudes,False
50,530,"Euros 2016, Qualifiers",11.10.15,Faroe Islands vs Romania,2015,Faroe Islands,FO,9. Соренсен,True,Failed Using Name Looking at Season and Season +-1,['Hanus Sørensen'],Sorensen,Cyrillic Dudes,False
51,530,"Euros 2016, Qualifiers",11.10.15,Faroe Islands vs Romania,2015,Romania,RO,16. Мэцэл,True,Failed Using Name Looking at Season and Season +-1,['Cosmin Matei'],Matsel,Cyrillic Dudes,False
52,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Montenegro,ME,4. Йованович,True,Failed Using Name Looking at Season and Season +-1,['Andjelko Jovanović'],Jovanović,Cyrillic Dudes,False
53,537,"Euros 2016, Qualifiers",09.10.14,Moldova vs Austria,2014,Moldova,MD,7. Кожокарь,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Kozhokar,Cyrillic Dudes,False
54,824,"Euros 2020, Qualifiers",08.06.19,Scotland vs Cyprus,2019,Cyprus,CY,poljarić,True,Failed Using Name Looking at Season and Season +-1,['Danilo Spoljaric'],poljarić,Cyrillic Dudes,False
55,833,"Euros 2020, Qualifiers",09.09.19,San Marino vs Cyprus,2019,Cyprus,CY,poljarić,True,Failed Using Name Looking at Season and Season +-1,['Danilo Spoljaric'],poljarić,Cyrillic Dudes,False
56,839,"Euros 2020, Qualifiers",13.10.19,Cyprus vs Russia,2019,Cyprus,CY,poljarić,True,Failed Using Name Looking at Season and Season +-1,['Danilo Spoljaric'],poljarić,Cyrillic Dudes,False
57,843,"Euros 2020, Qualifiers",19.11.19,Belgium vs Cyprus,2019,Cyprus,CY,poljarić,True,Failed Using Name Looking at Season and Season +-1,['Danilo Spoljaric'],poljarić,Cyrillic Dudes,False
58,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Iceland,IS,18. Э.Бьярнасон,True,Failed Using Name Looking at Season and Season +-1,['Aron Bjarnason'],A Bjarnason,Cyrillic Dudes,False
59,392,"Euros 2016, Qualifiers",16.11.14,Cyprus vs Andorra,2014,Andorra,AD,13. Поль,True,Failed Using Name Looking at Season and Season +-1,['Eric de Pablos'],Paul,Cyrillic Dudes,False
60,392,"Euros 2016, Qualifiers",16.11.14,Cyprus vs Andorra,2014,Andorra,AD,21. М.Гарсия,True,Failed Using Name Looking at Season and Season +-1,['Christian Garcia'],M Garcia,Cyrillic Dudes,False
61,393,"Euros 2016, Qualifiers",16.11.14,Israel vs Bosnia-Herzegovina,2014,Israel,IL,13. Йейни,True,Failed Using Name Looking at Season and Season +-1,['Sherin Yeini'],Jaini,Cyrillic Dudes,False
62,403,"Euros 2016, Qualifiers",03.09.15,Israel vs Andorra,2015,Andorra,AD,3. Сан-Николас,True,Failed Using Name Looking at Season and Season +-1,['Luigi San Nicolas'],San Nicolas,Cyrillic Dudes,False
63,403,"Euros 2016, Qualifiers",03.09.15,Israel vs Andorra,2015,Andorra,AD,21. Гарсия М.,True,Failed Using Name Looking at Season and Season +-1,['Christian Garcia'],M Garcia,Cyrillic Dudes,False
64,555,"Euros 2016, Qualifiers",08.09.15,Moldova vs Montenegro,2015,Montenegro,ME,4. Вукчевич С.,True,Failed Using Name Looking at Season and Season +-1,['Andrija Vukcevic'],S Vukcevic,Cyrillic Dudes,False
65,557,"Euros 2016, Qualifiers",09.10.15,Liechtenstein vs Sweden,2015,Liechtenstein,LI,1. Иеле,True,Failed Using Name Looking at Season and Season +-1,['Gabriel Foser'],Iele,Cyrillic Dudes,False
66,557,"Euros 2016, Qualifiers",09.10.15,Liechtenstein vs Sweden,2015,Liechtenstein,LI,6. Кристен,True,Failed Using Name Looking at Season and Season +-1,['Mathias Christen'],Kristen,Cyrillic Dudes,False
67,559,"Euros 2016, Qualifiers",09.10.15,Montenegro vs Austria,2015,Montenegro,ME,4. Вукчевич С.,True,Failed Using Name Looking at Season and Season +-1,['Andrija Vukcevic'],S Vukcevic,Cyrillic Dudes,False
68,560,"Euros 2016, Qualifiers",12.10.15,Austria vs Liechtenstein,2015,Liechtenstein,LI,1. Иеле,True,Failed Using Name Looking at Season and Season +-1,['Gabriel Foser'],Iele,Cyrillic Dudes,False
280,2179,"World Cup Qualifiers, Africa, 2022",10-09-2019,Zimbabwe vs Somalia,2019,Somalia,SO,M Ali Mohamed,True,Failed Using Name Looking at Season and Season +-1,,,Large Dataset Said 0 Complete,False
281,2446,"World Cup Qualifiers, Asia, 2018",16-06-2015,Bangladesh vs Tajikistan,2015,Tajikistan,TJ,U Sharipov,True,Failed Using Name Looking at Season and Season +-1,Umardzhon Sharipov,,Large Dataset Said 0 Complete,False
282,2100,"World Cup Qualifiers, Africa, 2022",08-10-2021,Egypt vs Libya,2021,Libya,LY,Mohammad Zubya,True,Failed Using Name Looking at Season and Season +-1,Mohamed Zaabia,,Large Dataset Said 0 Complete,False
283,2122,"World Cup Qualifiers, Africa, 2022",11-10-2021,Libya vs Egypt,2021,Libya,LY,Mohammad Zubya,True,Failed Using Name Looking at Season and Season +-1,Mohamed Zaabia,,Large Dataset Said 0 Complete,False
284,2354,"World Cup Qualifiers, Asia, 2018",12-11-2015,South Korea vs Myanmar,2015,Myanmar,MM,Thet Naing,True,Failed Using Name Looking at Season and Season +-1,Thet Naing,,Large Dataset Said 0 Complete,False
285,1990,"World Cup Qualifiers, Africa, 2018",11-11-2017,Congo DR vs Guinea,2017,Guinea,GN,M Traoré,True,Failed Using Name Looking at Season and Season +-1,Mohamed Kalil Traoré,,Large Dataset Said 0 Complete,False
286,2156,"World Cup Qualifiers, Africa, 2022",01-09-2021,Egypt vs Angola,2021,Egypt,EG,Ahmed Zizo,True,Failed Using Name Looking at Season and Season +-1,Ahmed Ali,,Large Dataset Said 0 Complete,False
287,2101,"World Cup Qualifiers, Africa, 2022",07-09-2021,Equatorial Guinea vs Mauritania,2021,Equatorial Guinea,GQ,Rui Gomes,True,Failed Using Name Looking at Season and Season +-1,['Rui'],,Lookup Required Matches,False
288,2603,"World Cup Qualifiers, Asia, 2022",01-02-2022,Vietnam vs China PR,2022,China PR,CN,Aloísio,True,Failed Using Name Looking at Season and Season +-1,['Aloísio'],,Lookup Required Matches,False
289,2603,"World Cup Qualifiers, Asia, 2022",01-02-2022,Vietnam vs China PR,2022,China PR,CN,Alan,True,Failed Using Name Looking at Season and Season +-1,['Alan'],,Lookup Required Matches,False
290,2613,"World Cup Qualifiers, Asia, 2022",07-10-2021,China PR vs Vietnam,2021,China PR,CN,Wang Gang,True,Failed Using Name Looking at Season and Season +-1,['Gang Wang'],,Lookup Required Matches,False
291,2567,"World Cup Qualifiers, Asia, 2022",7-9-2021,China PR vs Japan,2021,China PR,CN,Wang Gang,True,Failed Using Name Looking at Season and Season +-1,['Gang Wang'],,Lookup Required Matches,False
292,2569,"World Cup Qualifiers, Asia, 2022",16-11-2021,China PR vs Australia,2021,China PR,CN,Aloísio,True,Failed Using Name Looking at Season and Season +-1,['Aloísio'],,Lookup Required Matches,False
293,2632,"World Cup Qualifiers, Asia, 2022",11-11-2021,China PR vs Oman,2021,China PR,CN,Aloísio,True,Failed Using Name Looking at Season and Season +-1,['Aloísio'],,Lookup Required Matches,False
294,2254,"World Cup Qualifiers, Asia, 2014",06-09-2013,Jordan vs Uzbekistan,2013,Uzbekistan,UZ,I Inomov,True,Failed Using Name Looking at Season and Season +-1,Farrukh Ikromov,,Lookup Required Matches,False
295,3495,"African Cup of Nations, 2015",18-01-2015,Tunisia vs Cape Verde,2015,Tunisia,TN,M Manser,True,Failed Using Name Looking at Season and Season +-1,Mohamed Ben Mansour,,Lookup Required Matches,False
296,3651,"Gold Cup, 2013",09-07-2013,El Salvador vs Trinidad and Tobago,2013,Trinidad and Tobago,TT,K Carter,True,Failed Using Name Looking at Season and Season +-1,Keron Clarke,,Lookup Required Matches,False
297,2175,"World Cup Qualifiers, Africa, 2022",10-09-2019,Sudan vs Chad,2019,Chad,TD,M Adoassou,True,Failed Using Name Looking at Season and Season +-1,Eli Matthieu Adaoussou,,Lookup Required Matches,False
298,1968,"World Cup Qualifiers, Africa, 2018",17-11-2015,Tunisia vs Mauritania,2015,Tunisia,TN,M Manser,True,Failed Using Name Looking at Season and Season +-1,Mohamed Ben Mansour,,Lookup Required Matches,False
299,1888,"World Cup Qualifiers, Africa, 2014",07-09-2013,South Africa vs Botswana,2013,Botswana,BW,M Thuma,True,Failed Using Name Looking at Season and Season +-1,Misani Ega Thupa,,Lookup Required Matches,False
300,1888,"World Cup Qualifiers, Africa, 2014",07-09-2013,South Africa vs Botswana,2013,Botswana,BW,T Motlhabankwe,True,Failed Using Name Looking at Season and Season +-1,Thabang Mosige,,Lookup Required Matches,False
301,1894,"World Cup Qualifiers, Africa, 2014",07-09-2013,Angola vs Liberia,2013,Liberia,LR,S Thompson,True,Failed Using Name Looking at Season and Season +-1,Tommy Songo,,Lookup Required Matches,False
302,1906,"World Cup Qualifiers, Africa, 2014",16-11-2013,Senegal vs Cote d'Ivoire,2013,Cote d'Ivoire,CI,B Barry,True,Failed Using Name Looking at Season and Season +-1,Vakoun Bayo,,Lookup Required Matches,False
303,1907,"World Cup Qualifiers, Africa, 2014",07-09-2013,Cote d'Ivoire vs Morocco,2013,Cote d'Ivoire,CI,B Barry,True,Failed Using Name Looking at Season and Season +-1,Vakoun Bayo,,Lookup Required Matches,False
304,1911,"World Cup Qualifiers, Africa, 2014",12-10-2013,Cote d'Ivoire vs Senegal,2013,Cote d'Ivoire,CI,B Barry,True,Failed Using Name Looking at Season and Season +-1,Vakoun Bayo,,Lookup Required Matches,False
305,1973,"World Cup Qualifiers, Africa, 2018",13-10-2015,Mauritania vs South Sudan,2015,South Sudan,SS,A Akuie,True,Failed Using Name Looking at Season and Season +-1,William Akio,,Lookup Required Matches,False
306,2136,"World Cup Qualifiers, Africa, 2022",08-09-2019,Equatorial Guinea vs South Sudan,2019,South Sudan,SS,D Daluri,True,Failed Using Name Looking at Season and Season +-1,David Alfred Urbano,,Lookup Required Matches,False
