,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Wrong Name,Found Name,New Found Name,Status II
166,166,2920,"World Cup Qualifiers, Europe, 2014",San Marino vs Poland,10-09-2013,San Marino,SM,2013,SUCCESS,Fabio Vitaioli,0,FALSE,Used Average of Season Before and After,FALSE,Fabio Vitaioli,F Vitaioli,single,Yes,['Matteo Vitaioli'],Fabio Vitaioli,Done
167,167,2926,"World Cup Qualifiers, Europe, 2014",San Marino vs Ukraine,15-10-2013,San Marino,SM,2013,SUCCESS,Davide Simoncini,0,FALSE,Used Average of Season Before and After,FALSE,Davide Simoncini,D Simoncini,single,Yes,['Aldo Simoncini'],Davide Simoncini,Done
168,168,2926,"World Cup Qualifiers, Europe, 2014",San Marino vs Ukraine,15-10-2013,San Marino,SM,2013,SUCCESS,Fabio Vitaioli,0,FALSE,Used Average of Season Before and After,FALSE,Fabio Vitaioli,F Vitaioli,single,Yes,['Matteo Vitaioli'],Fabio Vitaioli,Done
169,169,2928,"World Cup Qualifiers, Europe, 2014",Ukraine vs San Marino,06-09-2013,San Marino,SM,2013,SUCCESS,Davide Simoncini,0,FALSE,Used Average of Season Before and After,FALSE,Davide Simoncini,D Simoncini,single,Yes,['Aldo Simoncini'],Davide Simoncini,Done
170,170,2928,"World Cup Qualifiers, Europe, 2014",Ukraine vs San Marino,06-09-2013,San Marino,SM,2013,SUCCESS,Fabio Vitaioli,0,FALSE,Used Average of Season Before and After,FALSE,Fabio Vitaioli,F Vitaioli,single,Yes,['Matteo Vitaioli'],Fabio Vitaioli,Done
171,171,4097,"World Cup 2022, Qualifiers, CONCACAF",Cuba vs Curaçao,28-Mar-21,Cuba,CU,2021,SUCCESS,Sandy Sánchez,0,FALSE,Used Average of Season Before and After,FALSE,Sandy Sánchez,Sanchez,single,Yes,['Reidel Sánchez'],Sandy Sánchez,Done
172,172,4113,"World Cup 2022, Qualifiers, CONCACAF",Antigua and Barbuda vs Grenada,04-Jun-21,Grenada,GD,2021,SUCCESS,Kraig Noel-McLeod,0,FALSE,Used Average of Season Before and After,FALSE,Kraig Noel-McLeod,Noel-Mc Leod,single,Yes,['Dejon Noel-Williams'],Kraig Noel-McLeod,Done
173,173,1859,Nations League 2022-2023,Liechtenstein vs Latvia,14.06.22,Liechtenstein,LI,2022,SUCCESS,Noah Frick,480000,FALSE,Only Before,FALSE,Noah Frick,N Frick,single,Yes,"['Mario Frick', 'Yanik Frick']",Noah Frick,Done
174,174,2581,"World Cup Qualifiers, Asia, 2022",Chinese Taipei vs Jordan,05-09-2019,Chinese Taipei,TW,2019,SUCCESS,Wen-Chieh Pan,125000,FALSE,Found in Curr Season,FALSE,Wen-Chieh Pan,Wen Chih-hao,single,Yes,['Chih-Hao Wen'],Chih-Hao Wen,Done
175,175,2581,"World Cup Qualifiers, Asia, 2022",Chinese Taipei vs Jordan,05-09-2019,Jordan,JO,2019,SUCCESS,Mohammad Bani Attieh,0,FALSE,Only Before + Zero Before,FALSE,Mohammad Bani Attieh,Mohammad Atieh,single,Yes,"['Mohammad Khier Al-Jammal', 'Mohammad Abu Hasheesh']",Mohammad Bani Attieh,Done
176,176,2585,"World Cup Qualifiers, Asia, 2022",Mongolia vs Tajikistan,10-09-2019,Mongolia,MN,2019,SUCCESS,Bilgüün Ganbold,0,FALSE,Only Before + Zero Before,FALSE,Bilgüün Ganbold,B Ganbold,single,Yes,"['Gandelger Ganbold', 'Ganbold Ganbayar']",Bilgüün Ganbold,Done
177,177,2591,"World Cup Qualifiers, Asia, 2022",Mongolia vs Myanmar,05-09-2019,Mongolia,MN,2019,SUCCESS,Bilgüün Ganbold,0,FALSE,Only Before + Zero Before,FALSE,Bilgüün Ganbold,B Ganbold,single,Yes,"['Gandelger Ganbold', 'Ganbold Ganbayar']",Bilgüün Ganbold,Done
178,178,2595,"World Cup Qualifiers, Asia, 2022",Kuwait vs Chinese Taipei,14-11-2019,Kuwait,KW,2019,SUCCESS,Mubarak Al-Fnaini,87500,FALSE,Used Average of Season Before and After,FALSE,Mubarak Al-Fnaini,Mobarak Al-Faneeni,single,Yes,['Abdulmohsen Ali Al-Turkomani'],Mubarak Al-Fnaini,Done
179,179,2595,"World Cup Qualifiers, Asia, 2022",Kuwait vs Chinese Taipei,14-11-2019,Chinese Taipei,TW,2019,SUCCESS,Wen-Chieh Pan,125000,FALSE,Found in Curr Season,FALSE,Wen-Chieh Pan,Wen Chih-hao,single,Yes,['Chih-Hao Wen'],Chih-Hao Wen,Done
180,180,2595,"World Cup Qualifiers, Asia, 2022",Kuwait vs Chinese Taipei,14-11-2019,Chinese Taipei,TW,2019,SUCCESS,Cheng-Yi Lin,0,FALSE,Only Before + Zero Before,FALSE,Cheng-Yi Lin,Chen Yi-wei,single,Yes,['Yi-Wei Chen'],Yi-Wei Chen,Done
181,181,2599,"World Cup Qualifiers, Asia, 2022",Yemen vs Saudi Arabia,10-09-2019,Yemen,YE,2019,SUCCESS,Salem Awadh,0,FALSE,Only Before + Zero Before,FALSE,Salem Awadh,Salem Saeed,single,Yes,"['Ahmed Saeed Abdulrab', 'Salem Abdullah Mutran']",Salem Awadh,Done
182,182,2599,"World Cup Qualifiers, Asia, 2022",Yemen vs Saudi Arabia,10-09-2019,Yemen,YE,2019,SUCCESS,Mudir Abdurabu,50000,FALSE,Used Average of Season Before and After,FALSE,Mudir Abdurabu,Mudir Al Radaei,single,Yes,"['Ahmed Al-Dhaheri', 'Ammar Al-Baidani']",Mudir Abdurabu,Done
183,183,2599,"World Cup Qualifiers, Asia, 2022",Yemen vs Saudi Arabia,10-09-2019,Yemen,YE,2019,SUCCESS,Ahmed Maher,0,FALSE,Only Before + Zero Before,FALSE,Ahmed Maher,Ahmed Sadeq,single,Yes,"['Faisal Abdulrahman Ahmed Ba Hurmuz', 'Hussein Ahmed Al-Ghazi', 'Ahmed Saeed Abdulrab']",Ahmed Saeed Abdulrab,Done
184,184,2609,"World Cup Qualifiers, Asia, 2022",Syria vs Guam,15-10-2019,Guam,GU,2019,SUCCESS,Sean Evans,12500,FALSE,Used Average of Season Before and After,FALSE,Sean Evans,S Evans,single,Yes,['Marlon Evans'],Sean Evans,Done
185,185,2609,"World Cup Qualifiers, Asia, 2022",Syria vs Guam,15-10-2019,Guam,GU,2019,SUCCESS,Shawn Nicklaw,180000,FALSE,Only Before,FALSE,Shawn Nicklaw,S Nicklaw,single,Yes,['Travis Nicklaw'],Shawn Nicklaw,Done
186,186,2609,"World Cup Qualifiers, Asia, 2022",Syria vs Guam,15-10-2019,Guam,GU,2019,SUCCESS,Nate Lee,12500,FALSE,Used Average of Season Before and After,FALSE,Nate Lee,N Lee,single,Yes,['Justin Lee'],Nate Lee,Done
187,187,2609,"World Cup Qualifiers, Asia, 2022",Syria vs Guam,15-10-2019,Guam,GU,2019,SUCCESS,Jason Cunliffe,25000,FALSE,Used Average of Season Before and After,FALSE,Jason Cunliffe,J Cunliffe,single,Yes,['A. J. DeLaGarza'],Jason Cunliffe,Done
188,188,2610,"World Cup Qualifiers, Asia, 2022",Philippines vs Syria,05-09-2019,Syria,SY,2019,SUCCESS,Zaher Midani,0,FALSE,"Did Not Find in Curr Season, One Up, or One Down",FALSE,Zaher Midani,Zahir Al Midani,single,Yes,['Omar Al-Midani'],"['Zaher Midani', 'Omar Al-Midani']",Done
189,189,2615,"World Cup Qualifiers, Asia, 2022",Bahrain vs Iraq,05-09-2019,Bahrain,BH,2019,SUCCESS,Sayed Baqer,100000,FALSE,Used Average of Season Before and After,FALSE,Sayed Baqer,Sayed Jaafar,single,Yes,"['Sayed Mohammed Jaffer', 'Sayed Mohamed Adnan', 'Sayed Shubbar Alawi', 'Sayed Mujtaba Al-Muhafdha']",Sayed Mohammed Jaffer,Done
190,190,2618,"World Cup Qualifiers, Asia, 2022",Mongolia vs Kyrgyzstan,15-10-2019,Mongolia,MN,2019,SUCCESS,Bilgüün Ganbold,0,FALSE,Only Before + Zero Before,FALSE,Bilgüün Ganbold,B Ganbold,single,Yes,"['Gandelger Ganbold', 'Ganbold Ganbayar']",Bilgüün Ganbold,Done
191,191,2619,"World Cup Qualifiers, Asia, 2022",China PR vs Guam,10-10-2019,Guam,GU,2019,SUCCESS,Sean Evans,12500,FALSE,Used Average of Season Before and After,FALSE,Sean Evans,S Evans,single,Yes,['Marlon Evans'],Sean Evans,Done
192,192,2619,"World Cup Qualifiers, Asia, 2022",China PR vs Guam,10-10-2019,Guam,GU,2019,SUCCESS,Shawn Nicklaw,180000,FALSE,Only Before,FALSE,Shawn Nicklaw,S Nicklaw,single,Yes,['Travis Nicklaw'],Shawn Nicklaw,Done
193,193,2619,"World Cup Qualifiers, Asia, 2022",China PR vs Guam,10-10-2019,Guam,GU,2019,SUCCESS,Nate Lee,12500,FALSE,Used Average of Season Before and After,FALSE,Nate Lee,N Lee,single,Yes,['Justin Lee'],Nate Lee,Done
194,194,2619,"World Cup Qualifiers, Asia, 2022",China PR vs Guam,10-10-2019,Guam,GU,2019,SUCCESS,Jason Cunliffe,25000,FALSE,Used Average of Season Before and After,FALSE,Jason Cunliffe,J Cunliffe,single,Yes,['A. J. DeLaGarza'],Jason Cunliffe,Done
195,195,2624,"World Cup Qualifiers, Asia, 2022",Yemen vs Palestine,14-11-2019,Yemen,YE,2019,SUCCESS,Salem Awadh,0,FALSE,Only Before + Zero Before,FALSE,Salem Awadh,Salem Saeed,single,Yes,"['Ahmed Saeed Abdulrab', 'Salem Abdullah Mutran']",Salem Awadh,Done
196,196,2624,"World Cup Qualifiers, Asia, 2022",Yemen vs Palestine,14-11-2019,Yemen,YE,2019,SUCCESS,Mudir Abdurabu,50000,FALSE,Used Average of Season Before and After,FALSE,Mudir Abdurabu,Mudir Al Radaei,single,Yes,"['Ahmed Al-Dhaheri', 'Ammar Al-Baidani']",Mudir Abdurabu,Done
197,197,2624,"World Cup Qualifiers, Asia, 2022",Yemen vs Palestine,14-11-2019,Yemen,YE,2019,SUCCESS,Ahmed Maher,0,FALSE,Only Before + Zero Before,FALSE,Ahmed Maher,Ahmed Sadeq,single,Yes,"['Faisal Abdulrahman Ahmed Ba Hurmuz', 'Hussein Ahmed Al-Ghazi', 'Ahmed Saeed Abdulrab']",Ahmed Saeed Abdulrab,Done
198,198,1924,"World Cup Qualifiers, Africa, 2018",Tanzania vs Malawi,07-10-2015,Malawi,MW,2015,SUCCESS,John Banda,0,FALSE,Used Average of Season Before and After,FALSE,John Banda,J Banda,single,Yes,"['Frank Banda', 'Righteous Banda', 'Hastings Banda', 'Peter Banda', 'Patrick Banda']",John Banda,Done
199,199,1931,"World Cup Qualifiers, Africa, 2018",Cape Verde vs South Africa,01-09-2017,Cape Verde,CV,2017,SUCCESS,Carlos Bebé,1250000,FALSE,Found in Curr Season,FALSE,Carlos Bebé,Carlos Ponck,single,Yes,['Ponck'],Ponck,Done
200,200,1933,"World Cup Qualifiers, Africa, 2018",Cape Verde vs Kenya,17-11-2015,Kenya,KE,2015,SUCCESS,Eric Omondi,0,FALSE,Only After + Zero After,FALSE,Eric Omondi,E Johana Omondi,single,Yes,['Johanna Omolo'],Eric Omondi,Done
201,201,1937,"World Cup Qualifiers, Africa, 2018",Zambia vs Cameroon,11-11-2017,Zambia,ZM,2017,SUCCESS,Adrian Chama,0,FALSE,Used Average of Season Before and After,FALSE,Adrian Chama,A Chama,single,Yes,['Luka Chamanga'],Adrian Chama,Done
202,202,1937,"World Cup Qualifiers, Africa, 2018",Zambia vs Cameroon,11-11-2017,Zambia,ZM,2017,SUCCESS,Ziyo Tembo,0,FALSE,Used Average of Season Before and After,FALSE,Ziyo Tembo,Z Tembo,single,Yes,['Fwayo Tembo'],Ziyo Tembo,Done
203,203,1937,"World Cup Qualifiers, Africa, 2018",Zambia vs Cameroon,11-11-2017,Zambia,ZM,2017,SUCCESS,Augustine Mulenga,0,FALSE,Used Average of Season Before and After,FALSE,Augustine Mulenga,A Mulenga,single,Yes,['Mukuka Mulenga'],Augustine Mulenga,Done
204,204,1941,"World Cup Qualifiers, Africa, 2018",Madagascar vs Central African Republic,13-10-2015,Madagascar,MG,2015,SUCCESS,Chrétien Andriamifehy,0,FALSE,Used Average of Season Before and After,FALSE,Chrétien Andriamifehy,C Andriamifehy,single,Yes,['Andria'],Chrétien Andriamifehy,Done
205,205,1941,"World Cup Qualifiers, Africa, 2018",Madagascar vs Central African Republic,13-10-2015,Madagascar,MG,2015,SUCCESS,Tahiana Randrianarisoa,0,FALSE,Only After + Zero After,FALSE,Tahiana Randrianarisoa,T Randrianarisoa,single,Yes,['Andria'],Tahiana Randrianarisoa,Done
206,206,1941,"World Cup Qualifiers, Africa, 2018",Madagascar vs Central African Republic,13-10-2015,Madagascar,MG,2015,SUCCESS,Tantely Randrianiaina,0,FALSE,Only After + Zero After,FALSE,Tantely Randrianiaina,T Randrianiaina,single,Yes,['Andria'],Tantely Randrianiaina,Done
207,207,1945,"World Cup Qualifiers, Africa, 2018",Senegal vs Madagascar,17-11-2015,Madagascar,MG,2015,SUCCESS,Jean Dieu Randrianasolo,0,FALSE,Only After + Zero After,FALSE,Jean Dieu Randrianasolo,J Randrianasolo,single,Yes,['Andria'],Jean Dieu Randrianasolo,Done
208,208,1948,"World Cup Qualifiers, Africa, 2018",Cape Verde vs Senegal,07-10-2017,Cape Verde,CV,2017,SUCCESS,Carlos Bebé,1250000,FALSE,Found in Curr Season,FALSE,Carlos Bebé,Carlos Ponck,single,Yes,['Ponck'],Ponck,Done
209,209,1954,"World Cup Qualifiers, Africa, 2018",Cote d'Ivoire vs Liberia,17-11-2015,Liberia,LR,2015,SUCCESS,Teah Dennis,0,FALSE,Used Average of Season Before and After,FALSE,Teah Dennis,T Dennis,single,Yes,"['Eugene Dennis', 'Frederick Dennis']",Teah Dennis,Done
210,210,1955,"World Cup Qualifiers, Africa, 2018",Kenya vs Mauritius,11-10-2015,Kenya,KE,2015,SUCCESS,Eric Omondi,0,FALSE,Only After + Zero After,FALSE,Eric Omondi,E Johana Omondi,single,Yes,['Johanna Omolo'],Eric Omondi,Done
211,211,1963,"World Cup Qualifiers, Africa, 2018",Ethiopia vs São Tomé and Príncipe,11-10-2015,São Tomé and Príncipe,ST,2015,SUCCESS,Dungue Lima,0,FALSE,Used Average of Season Before and After,FALSE,Dungue Lima,Dungui,single,Yes,['Gué'],Dungue Lima,Done
212,212,1968,"World Cup Qualifiers, Africa, 2018",Tunisia vs Mauritania,17-11-2015,Mauritania,MR,2015,SUCCESS,Moustapha Diaw,0,FALSE,Used Average of Season Before and After,FALSE,Moustapha Diaw,M Diaw,single,Yes,['Khadim Diaw'],Moustapha Diaw,Done
213,213,1968,"World Cup Qualifiers, Africa, 2018",Tunisia vs Mauritania,17-11-2015,Mauritania,MR,2015,SUCCESS,Oumar N'Diaye,0,FALSE,Used Average of Season Before and After,FALSE,Oumar N'Diaye,O N'Diaye,single,Yes,"[""Bakary N'Diaye"", ""Sidi Mohamed Bilal N'Gara"", ""Almike Moussa N'Diaye""]",Oumar N'Diaye,Done
214,214,1969,"World Cup Qualifiers, Africa, 2018",Malawi vs Tanzania,11-10-2015,Malawi,MW,2015,SUCCESS,John Banda,0,FALSE,Used Average of Season Before and After,FALSE,John Banda,J Banda,single,Yes,"['Frank Banda', 'Righteous Banda', 'Hastings Banda', 'Peter Banda', 'Patrick Banda']",John Banda,Done
215,215,1971,"World Cup Qualifiers, Africa, 2018",Burkina Faso vs Cape Verde,14-11-2017,Cape Verde,CV,2017,SUCCESS,Carlos Bebé,1250000,FALSE,Found in Curr Season,FALSE,Carlos Bebé,Carlos Ponck,single,Yes,['Ponck'],Ponck,Done
216,216,3577,"African Cup of Nations, 2019",Madagascar vs Burundi,27-06-2019,Madagascar,MG,2019,SUCCESS,Arnaud Randrianantenaina,950000,FALSE,Found in Curr Season,FALSE,Arnaud Randrianantenaina,A Andrianarimanana,single,Yes,['Andria'],Andria,Done
217,217,1880,"World Cup Intercontinental Playoffs, 2018",Honduras vs Australia,10-11-2017,Honduras,HN,2017,SUCCESS,Henry Figueroa,0,FALSE,Used Average of Season Before and After,FALSE,Henry Figueroa,H Figueroa,single,Yes,"['Maynor Figueroa', 'Josman Figueroa']",Henry Figueroa,Done
218,218,1890,"World Cup Qualifiers, Africa, 2014",Central African Republic vs Ethiopia,07-09-2013,Ethiopia,ET,2013,SUCCESS,Degu Debebe,0,FALSE,Only Before + Zero Before,FALSE,Degu Debebe,D Debebe,single,Yes,['Mignot Debebe'],Degu Debebe,Done
219,219,1896,"World Cup Qualifiers, Africa, 2014",Nigeria vs Malawi,07-09-2013,Malawi,MW,2013,SUCCESS,Forster Namwera,0,FALSE,Only After + Zero After,FALSE,Forster Namwera,F Namwela,single,Yes,['Rafik Namwera'],Forster Namwera,Done
220,220,1896,"World Cup Qualifiers, Africa, 2014",Nigeria vs Malawi,07-09-2013,Malawi,MW,2013,SUCCESS,Davi Banda,50000,FALSE,Used Average of Season Before and After,FALSE,Davi Banda,D Banda,single,Yes,"['Frank Banda', 'Righteous Banda', 'Hastings Banda', 'Peter Banda', 'Patrick Banda']",Davi Banda,Done
221,221,1902,"World Cup Qualifiers, Africa, 2014",Ethiopia vs Nigeria,13-10-2013,Ethiopia,ET,2013,SUCCESS,Degu Debebe,0,FALSE,Only Before + Zero Before,FALSE,Degu Debebe,D Debebe,single,Yes,['Mignot Debebe'],Degu Debebe,Done
222,222,1918,"World Cup Qualifiers, Africa, 2018",Algeria vs Cameroon,09-10-2016,Cameroon,CM,2016,SUCCESS,Nouhou,12000000,FALSE,Found in Curr Season,FALSE,Nouhou,N Nkoulou,single,Yes,"[""Nicolas N'Koulou"", ""Yannick N'Djeng"", ""Georges-Kevin N'Koudou""]",Nicolas N'Koulou,Done
223,223,1920,"World Cup Qualifiers, Africa, 2018",Liberia vs Cote d'Ivoire,13-11-2015,Liberia,LR,2015,SUCCESS,Teah Dennis,0,FALSE,Used Average of Season Before and After,FALSE,Teah Dennis,T Dennis,single,Yes,"['Eugene Dennis', 'Frederick Dennis']",Teah Dennis,Done
224,224,2834,"World Cup Qualifiers, Europe, 2014",Poland vs San Marino,26-03-2013,San Marino,SM,2013,SUCCESS,Fabio Vitaioli,0,FALSE,Used Average of Season Before and After,FALSE,Fabio Vitaioli,F Vitaioli,single,Yes,['Matteo Vitaioli'],Fabio Vitaioli,Done
225,225,2834,"World Cup Qualifiers, Europe, 2014",Poland vs San Marino,26-03-2013,San Marino,SM,2013,SUCCESS,Fabio Bollini,0,FALSE,Only Before + Zero Before,FALSE,Fabio Bollini,F Bollini,single,Yes,['Gianluca Bollini'],Fabio Bollini,Done
226,226,2836,"World Cup Qualifiers, Europe, 2014",Moldova vs San Marino,11-10-2013,San Marino,SM,2013,SUCCESS,Davide Simoncini,0,FALSE,Used Average of Season Before and After,FALSE,Davide Simoncini,D Simoncini,single,Yes,['Aldo Simoncini'],Davide Simoncini,Done
227,227,2836,"World Cup Qualifiers, Europe, 2014",Moldova vs San Marino,11-10-2013,San Marino,SM,2013,SUCCESS,Fabio Vitaioli,0,FALSE,Used Average of Season Before and After,FALSE,Fabio Vitaioli,F Vitaioli,single,Yes,['Matteo Vitaioli'],Fabio Vitaioli,Done
228,228,1972,"World Cup Qualifiers, Africa, 2018",South Africa vs Cape Verde,05-09-2017,Cape Verde,CV,2017,SUCCESS,Carlos Bebé,1250000,FALSE,Found in Curr Season,FALSE,Carlos Bebé,Carlos Ponck,single,Yes,['Ponck'],Ponck,Done
229,229,1973,"World Cup Qualifiers, Africa, 2018",Mauritania vs South Sudan,13-10-2015,Mauritania,MR,2015,SUCCESS,Oumar N'Diaye,0,FALSE,Used Average of Season Before and After,FALSE,Oumar N'Diaye,O N'Diaye,single,Yes,"[""Bakary N'Diaye"", ""Sidi Mohamed Bilal N'Gara"", ""Almike Moussa N'Diaye""]",Oumar N'Diaye,Done
230,230,1974,"World Cup Qualifiers, Africa, 2018",South Sudan vs Mauritania,08-10-2015,Mauritania,MR,2015,SUCCESS,Moustapha Diaw,0,FALSE,Used Average of Season Before and After,FALSE,Moustapha Diaw,M Diaw,single,Yes,['Khadim Diaw'],Moustapha Diaw,Done
231,231,1974,"World Cup Qualifiers, Africa, 2018",South Sudan vs Mauritania,08-10-2015,Mauritania,MR,2015,SUCCESS,Oumar N'Diaye,0,FALSE,Used Average of Season Before and After,FALSE,Oumar N'Diaye,O N'Diaye,single,Yes,"[""Bakary N'Diaye"", ""Sidi Mohamed Bilal N'Gara"", ""Almike Moussa N'Diaye""]",Oumar N'Diaye,Done
232,232,1978,"World Cup Qualifiers, Africa, 2018",Guinea-Bissau vs Liberia,13-10-2015,Liberia,LR,2015,SUCCESS,Teah Dennis,0,FALSE,Used Average of Season Before and After,FALSE,Teah Dennis,T Dennis,single,Yes,"['Eugene Dennis', 'Frederick Dennis']",Teah Dennis,Done
233,233,1979,"World Cup Qualifiers, Africa, 2018",São Tomé and Príncipe vs Ethiopia,08-10-2015,São Tomé and Príncipe,ST,2015,SUCCESS,Dungue Lima,0,FALSE,Used Average of Season Before and After,FALSE,Dungue Lima,Dungui,single,Yes,['Gué'],Dungue Lima,Done
234,234,1979,"World Cup Qualifiers, Africa, 2018",São Tomé and Príncipe vs Ethiopia,08-10-2015,São Tomé and Príncipe,ST,2015,SUCCESS,Luís Janota Keita,0,FALSE,Only After + Zero After,FALSE,Luís Janota Keita,Luis Taraveira,single,Yes,['Elias Varela'],Luís Janota Keita,Done
235,235,1982,"World Cup Qualifiers, Africa, 2018",Algeria vs Zambia,05-09-2017,Zambia,ZM,2017,SUCCESS,Ziyo Tembo,0,FALSE,Used Average of Season Before and After,FALSE,Ziyo Tembo,Z Tembo,single,Yes,['Fwayo Tembo'],Ziyo Tembo,Done
236,236,1982,"World Cup Qualifiers, Africa, 2018",Algeria vs Zambia,05-09-2017,Zambia,ZM,2017,SUCCESS,Augustine Mulenga,0,FALSE,Used Average of Season Before and After,FALSE,Augustine Mulenga,A Mulenga,single,Yes,['Mukuka Mulenga'],Augustine Mulenga,Done
237,237,1986,"World Cup Qualifiers, Africa, 2018",Central African Republic vs Madagascar,10-10-2015,Madagascar,MG,2015,SUCCESS,Jean Dieu Randrianasolo,0,FALSE,Only After + Zero After,FALSE,Jean Dieu Randrianasolo,J Randrianasolo,single,Yes,['Andria'],Jean Dieu Randrianasolo,Done
238,238,1986,"World Cup Qualifiers, Africa, 2018",Central African Republic vs Madagascar,10-10-2015,Madagascar,MG,2015,SUCCESS,Tantely Randrianiaina,0,FALSE,Only After + Zero After,FALSE,Tantely Randrianiaina,T Randrianiaina,single,Yes,['Andria'],Tantely Randrianiaina,Done
239,239,1987,"World Cup Qualifiers, Africa, 2018",Mauritius vs Kenya,07-10-2015,Mauritius,MU,2015,SUCCESS,Andy Sophie,0,FALSE,Only After + Zero After,FALSE,Andy Sophie,A Sophie,single,Yes,['Dawson Sophie'],Andy Sophie,Done
240,240,1996,"World Cup Qualifiers, Africa, 2018",Zambia vs Algeria,02-09-2017,Zambia,ZM,2017,SUCCESS,Ziyo Tembo,0,FALSE,Used Average of Season Before and After,FALSE,Ziyo Tembo,Z Tembo,single,Yes,['Fwayo Tembo'],Ziyo Tembo,Done
241,241,1996,"World Cup Qualifiers, Africa, 2018",Zambia vs Algeria,02-09-2017,Zambia,ZM,2017,SUCCESS,Augustine Mulenga,0,FALSE,Used Average of Season Before and After,FALSE,Augustine Mulenga,A Mulenga,single,Yes,['Mukuka Mulenga'],Augustine Mulenga,Done
242,242,2007,"World Cup Qualifiers, Africa, 2018",Nigeria vs Zambia,07-10-2017,Zambia,ZM,2017,SUCCESS,Ziyo Tembo,0,FALSE,Used Average of Season Before and After,FALSE,Ziyo Tembo,Z Tembo,single,Yes,['Fwayo Tembo'],Ziyo Tembo,Done
243,243,2007,"World Cup Qualifiers, Africa, 2018",Nigeria vs Zambia,07-10-2017,Zambia,ZM,2017,SUCCESS,Augustine Mulenga,0,FALSE,Used Average of Season Before and After,FALSE,Augustine Mulenga,A Mulenga,single,Yes,['Mukuka Mulenga'],Augustine Mulenga,Done
244,244,2009,"World Cup Qualifiers, Africa, 2018",Seychelles vs Burundi,07-10-2015,Seychelles,SC,2015,SUCCESS,Achilles Henriette,0,FALSE,Used Average of Season Before and After,FALSE,Achilles Henriette,A Henriette,single,Yes,['Ryan Henriette'],Achilles Henriette,Done
245,245,2013,"World Cup Qualifiers, Africa, 2018",Liberia vs Guinea-Bissau,08-10-2015,Liberia,LR,2015,SUCCESS,Teah Dennis,0,FALSE,Used Average of Season Before and After,FALSE,Teah Dennis,T Dennis,single,Yes,"['Eugene Dennis', 'Frederick Dennis']",Teah Dennis,Done
246,246,2549,"World Cup Qualifiers, Asia, 2022",Uzbekistan vs Yemen,10-10-2019,Yemen,YE,2019,SUCCESS,Salem Awadh,0,FALSE,Only Before + Zero Before,FALSE,Salem Awadh,Salem Saeed,single,Yes,"['Ahmed Saeed Abdulrab', 'Salem Abdullah Mutran']",Salem Awadh,Done
247,247,2549,"World Cup Qualifiers, Asia, 2022",Uzbekistan vs Yemen,10-10-2019,Yemen,YE,2019,SUCCESS,Mudir Abdurabu,50000,FALSE,Used Average of Season Before and After,FALSE,Mudir Abdurabu,Mudir Al Radaei,single,Yes,"['Ahmed Al-Dhaheri', 'Ammar Al-Baidani']",Mudir Abdurabu,Done
248,248,2549,"World Cup Qualifiers, Asia, 2022",Uzbekistan vs Yemen,10-10-2019,Yemen,YE,2019,SUCCESS,Ahmed Maher,0,FALSE,Only Before + Zero Before,FALSE,Ahmed Maher,Ahmed Sadeq,single,Yes,"['Faisal Abdulrahman Ahmed Ba Hurmuz', 'Hussein Ahmed Al-Ghazi', 'Ahmed Saeed Abdulrab']",Ahmed Saeed Abdulrab,Done
249,249,2561,"World Cup Qualifiers, Asia, 2022",Guam vs Maldives,05-09-2019,Guam,GU,2019,SUCCESS,Shawn Nicklaw,180000,FALSE,Only Before,FALSE,Shawn Nicklaw,S Nicklaw,single,Yes,['Travis Nicklaw'],Shawn Nicklaw,Done
250,250,2561,"World Cup Qualifiers, Asia, 2022",Guam vs Maldives,05-09-2019,Guam,GU,2019,SUCCESS,Jason Cunliffe,25000,FALSE,Used Average of Season Before and After,FALSE,Jason Cunliffe,J Cunliffe,single,Yes,['A. J. DeLaGarza'],Jason Cunliffe,Done
