,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
16,16,16,16,2256,56,4201,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Bolivia,07-Oct-11,Bolivia,BO,2011,FAIL,"['Rodrigo Vargas', 'Luis Vargas']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Rodrigo Vargas', 'Luis Vargas']",FALSE,Christian Vargas,Vargas,multiple,Done
17,17,17,17,2260,60,4201,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Bolivia,07-Oct-11,Bolivia,BO,2011,FAIL,"['Carlos Saucedo', 'Fernando Saucedo']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Carlos Saucedo', 'Fernando Saucedo']",FALSE,Mauricio Saucedo,Saucedo,multiple,Done
18,18,18,18,2311,111,4204,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Colombia,11-Oct-11,Bolivia,BO,2011,FAIL,"['Gilbert Alvarez', 'William Alvarez', 'Eduardo Alvarez', 'Sebastian Alvarez']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Gilbert Alvarez', 'William Alvarez', 'Eduardo Alvarez', 'Sebastian Alvarez']",FALSE,Lorgio Álvarez,Alvarez,multiple,Done
19,19,19,19,2410,210,4208,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Bolivia,11-Nov-11,Bolivia,BO,2011,FAIL,"['Rodrigo Vargas', 'Luis Vargas']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Rodrigo Vargas', 'Luis Vargas']",FALSE,Christian Vargas,Vargas,multiple,Done
20,20,20,20,2438,238,4209,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Chile,11-Nov-11,Chile,CL,2011,FAIL,"['Felipe Campos', 'Cristóbal Campos']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Felipe Campos', 'Cristóbal Campos']",FALSE,Matías Campos Toro,Campos,multiple,Done
21,21,21,21,2484,284,4211,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Venezuela,11-Nov-11,Venezuela,VE,2011,FAIL,"['Júnior Moreno', 'Johan Moreno']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Júnior Moreno', 'Johan Moreno']",FALSE,Alejandro Moreno,Moreno,multiple,Done
22,22,22,22,2516,316,4213,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Peru,15-Nov-11,Ecuador,EC,2011,FAIL,"['Joao Rojas', 'Juan Rojas']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Joao Rojas', 'Juan Rojas']",FALSE,Joao Rojas,Rojas,multiple,Done
23,23,23,23,2542,342,4214,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Bolivia,15-Nov-11,Bolivia,BO,2011,FAIL,"['Rodrigo Vargas', 'Luis Vargas']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Rodrigo Vargas', 'Luis Vargas']",FALSE,Christian Vargas,Vargas,multiple,Done
24,24,24,24,2597,397,4217,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Chile,02-Jun-12,Bolivia,BO,2012,FAIL,"['Rodrigo Vargas', 'Luis Vargas']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Rodrigo Vargas', 'Luis Vargas']",FALSE,Christian Vargas,Vargas,multiple,Done
25,25,25,25,2663,463,4220,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Paraguay,09-Jun-12,Bolivia,BO,2012,FAIL,"['Rodrigo Vargas', 'Luis Vargas']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Rodrigo Vargas', 'Luis Vargas']",FALSE,Christian Vargas,Vargas,multiple,Done
26,26,26,26,2737,537,4223,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Colombia,10-Jun-12,Ecuador,EC,2012,FAIL,"['Joao Rojas', 'Juan Rojas']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Joao Rojas', 'Juan Rojas']",FALSE,Joao Rojas,Rojas,multiple,Done
27,27,27,27,2784,584,4225,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Bolivia,07-Sep-12,Bolivia,BO,2012,FAIL,"['Rodrigo Vargas', 'Luis Vargas']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Rodrigo Vargas', 'Luis Vargas']",FALSE,Christian Vargas,Vargas,multiple,Done
28,28,28,28,2793,593,4225,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Bolivia,07-Sep-12,Bolivia,BO,2012,FAIL,"['Carlos Saucedo', 'Fernando Saucedo']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Carlos Saucedo', 'Fernando Saucedo']",FALSE,Mauricio Saucedo,Saucedo,multiple,Done
29,29,29,29,2956,756,4233,"World Cup 2014, Qualifiers, CONMEBOL",Ecuador vs Chile,12-Oct-12,Ecuador,EC,2012,FAIL,"['Joao Rojas', 'Juan Rojas']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Joao Rojas', 'Juan Rojas']",FALSE,Joao Rojas,Rojas,multiple,Done
30,30,30,30,2974,774,4234,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Peru,12-Oct-12,Bolivia,BO,2012,FAIL,"['Rodrigo Vargas', 'Luis Vargas']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Rodrigo Vargas', 'Luis Vargas']",FALSE,Christian Vargas,Vargas,multiple,Done
31,31,31,31,3061,861,4238,"World Cup 2014, Qualifiers, CONMEBOL",Paraguay vs Peru,16-Oct-12,Paraguay,PY,2012,FAIL,"['Gatito Fernández', 'Fernando Fernández', 'Roberto Fernández']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Gatito Fernández', 'Fernando Fernández', 'Roberto Fernández']",FALSE,Gatito Fernández,Fernández,multiple,Done
32,32,32,32,3120,920,4240,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Bolivia,22-Mar-13,Bolivia,BO,2013,FAIL,"['Ignacio García', 'John García']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Ignacio García', 'John García']",FALSE,Ronald Garcia,García,multiple,Done
33,33,33,33,3636,336,4010,"World Cup 2018, Qualifiers, CONCACAF",USA vs Saint Vincent and the Grenadines,13-Nov-15,USA,US,2015,FAIL,"['Jermaine Jones', 'DeJuan Jones']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Jermaine Jones', 'DeJuan Jones']",FALSE,Jermaine Jones,Jones,multiple,Done
34,34,34,34,3638,338,4010,"World Cup 2018, Qualifiers, CONCACAF",USA vs Saint Vincent and the Grenadines,13-Nov-15,USA,US,2015,FAIL,"['Sean Johnson', 'Fabian Johnson', 'Eddie Johnson']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sean Johnson', 'Fabian Johnson', 'Eddie Johnson']",FALSE,Fabian Johnson,Johnson,multiple,Done
35,35,35,35,3845,545,4019,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs USA,17-Nov-15,USA,US,2015,FAIL,"['Jermaine Jones', 'DeJuan Jones']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Jermaine Jones', 'DeJuan Jones']",FALSE,Jermaine Jones,Jones,multiple,Done
36,36,36,36,3847,547,4019,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs USA,17-Nov-15,USA,US,2015,FAIL,"['Sean Johnson', 'Fabian Johnson', 'Eddie Johnson']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sean Johnson', 'Fabian Johnson', 'Eddie Johnson']",FALSE,Fabian Johnson,Johnson,multiple,Done
37,37,37,37,3995,695,4027,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs USA,25-Mar-16,USA,US,2016,FAIL,"['Omar González', 'Jesse González']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Omar González', 'Jesse González']",FALSE,Omar Gonzalez,Gonzalez,multiple,Done
38,38,38,38,4011,711,4028,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs Saint Vincent and the Grenadines,29-Mar-16,Trinidad and Tobago,TT,2016,FAIL,"['Jamali Garcia', 'Justin Garcia']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Jamali Garcia', 'Justin Garcia']",FALSE,Justin Garcia,Garcia,multiple,Done
39,39,39,39,4177,877,4035,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs USA,02-Sep-16,USA,US,2016,FAIL,"['Sean Johnson', 'Fabian Johnson', 'Eddie Johnson']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sean Johnson', 'Fabian Johnson', 'Eddie Johnson']",FALSE,Fabian Johnson,Johnson,multiple,Done
40,40,40,40,4336,1036,4043,"World Cup 2018, Qualifiers, CONCACAF",USA vs Trinidad and Tobago,06-Sep-16,USA,US,2016,FAIL,"['Omar González', 'Jesse González']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Omar González', 'Jesse González']",FALSE,Omar Gonzalez,Gonzalez,multiple,Done
41,41,41,41,4338,1038,4043,"World Cup 2018, Qualifiers, CONCACAF",USA vs Trinidad and Tobago,06-Sep-16,USA,US,2016,FAIL,"['Sean Johnson', 'Fabian Johnson', 'Eddie Johnson']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sean Johnson', 'Fabian Johnson', 'Eddie Johnson']",FALSE,Fabian Johnson,Johnson,multiple,Done
42,42,42,42,4352,1052,4043,"World Cup 2018, Qualifiers, CONCACAF",USA vs Trinidad and Tobago,06-Sep-16,Trinidad and Tobago,TT,2016,FAIL,"['Jamali Garcia', 'Justin Garcia']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Jamali Garcia', 'Justin Garcia']",FALSE,Justin Garcia,Garcia,multiple,Done
43,43,43,43,4440,40,2225,"World Cup Qualifiers, Africa, 2026",Burundi vs Gambia,16-11-2023,Gambia,GM,2023,FAIL,"['Ablie Jallow', 'Abdoulie Jallow']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Ablie Jallow', 'Abdoulie Jallow']",FALSE,Ablie Jallow,A Jallow,multiple,Done
44,44,44,44,4443,43,2225,"World Cup Qualifiers, Africa, 2026",Burundi vs Gambia,16-11-2023,Gambia,GM,2023,FAIL,"['Modou Barrow', 'Musa Barrow']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Modou Barrow', 'Musa Barrow']",FALSE,Musa Barrow,M Barrow,multiple,Done
45,45,45,45,4586,186,2232,"World Cup Qualifiers, Africa, 2026",Sierra Leone vs Egypt,19-11-2023,Sierra Leone,SL,2023,FAIL,"['Donald Kamara', 'Demba Kamara']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Donald Kamara', 'Demba Kamara']",FALSE,Demba Kamara,D Kamara,multiple,Done
46,46,46,46,4600,200,2233,"World Cup Qualifiers, Africa, 2026",Gambia vs Cote d'Ivoire,20-11-2023,Gambia,GM,2023,FAIL,"['Bubacarr Sanneh', 'Bun Sanneh']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Bubacarr Sanneh', 'Bun Sanneh']",FALSE,Bubacarr Sanneh,B Sanneh,multiple,Done
47,47,47,47,4603,203,2233,"World Cup Qualifiers, Africa, 2026",Gambia vs Cote d'Ivoire,20-11-2023,Gambia,GM,2023,FAIL,"['Ablie Jallow', 'Abdoulie Jallow']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Ablie Jallow', 'Abdoulie Jallow']",FALSE,Ablie Jallow,A Jallow,multiple,Done
48,48,48,48,4608,208,2233,"World Cup Qualifiers, Africa, 2026",Gambia vs Cote d'Ivoire,20-11-2023,Gambia,GM,2023,FAIL,"['Modou Barrow', 'Musa Barrow']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Modou Barrow', 'Musa Barrow']",FALSE,Musa Barrow,M Barrow,multiple,Done
49,49,49,49,4643,243,2235,"World Cup Qualifiers, Africa, 2026",Comoros vs Ghana,21-11-2023,Comoros,KM,2023,FAIL,"['Iyad Mohamed', 'Karim Mohamed', 'Arkane Mohamed']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Iyad Mohamed', 'Karim Mohamed', 'Arkane Mohamed']",FALSE,Mohamed Youssouf,Y Mohamed,multiple,Done
50,50,50,50,4669,269,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,19-11-2023,Sudan,SD,2023,FAIL,"['Ali Abdalla', 'Faris Abdalla', 'Sofian Abdalla']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Ali Abdalla', 'Faris Abdalla', 'Sofian Abdalla']",FALSE,Al Hilal Omdurman,Abu Agla Abdalla,multiple,Done
51,51,51,51,5164,764,2259,"World Cup Qualifiers, Asia, 2014",Jordan vs Oman,18-06-2013,Oman,OM,2013,FAIL,"['Ahmed Al-Khamisi', 'Ahmed Al-Kaabi', 'Khalid Al-Hajri']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Ahmed Al-Khamisi', 'Ahmed Al-Kaabi', 'Khalid Al-Hajri']",FALSE,Ahmed Kano,Ahmad Almahaijri,multiple,Done
52,52,52,52,5317,917,2267,"World Cup Qualifiers, Asia, 2018",Chinese Taipei vs Vietnam,08-09-2015,Vietnam,VN,2015,FAIL,"['Minh Toan Tran', 'Dinh Trong Tran']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Minh Toan Tran', 'Dinh Trong Tran']",FALSE,Tan Sinh Huynh,inh Tin Thành,multiple,Done
53,53,53,53,5459,1059,2274,"World Cup Qualifiers, Asia, 2018",Vietnam vs Iraq,08-10-2015,Vietnam,VN,2015,FAIL,"['Minh Toan Tran', 'Dinh Trong Tran']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Minh Toan Tran', 'Dinh Trong Tran']",FALSE,Tan Sinh Huynh,inh Tin Thành,multiple,Done
54,54,54,54,5461,1061,2274,"World Cup Qualifiers, Asia, 2018",Vietnam vs Iraq,08-10-2015,Vietnam,VN,2015,FAIL,"['Xuan Truong Luong', 'Dinh Tung Hoang', 'Quoc Trung Vuong']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS Nguyễn Trọng Hoàng",FALSE,Trong Hoang Nguyen,Nguyn Trng Hoàng,multiple,Done
55,55,55,55,9464,598,3513,"African Cup of Nations, 2017",Cote d'Ivoire vs Congo DR,20-01-2017,Cote d'Ivoire,CI,2017,FAIL,"['Adama Traoré', 'Alassane Traoré']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 18 A. Traoré",FALSE,Adama Traoré,A Traoré,multiple,Done
56,56,56,56,9750,884,3526,"African Cup of Nations, 2017",Cote d'Ivoire vs Togo,16-01-2017,Cote d'Ivoire,CI,2017,FAIL,"['Adama Traoré', 'Alassane Traoré']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 18 A. Traoré",FALSE,Adama Traoré,A Traoré,multiple,Done
57,57,57,57,11628,562,781,"Euros 2020, Qualifiers",Austria vs North Macedonia,16.11.19,North Macedonia,MK,2019,FAIL,"['Tome Pačovski', 'Tome Kitanovski']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tome Pačovski', 'Tome Kitanovski']",FALSE,Kristijan Tosevski,Toševski,multiple,Done
58,58,58,58,11739,673,786,"Euros 2020, Qualifiers",Albania vs Turkey,22.03.19,Turkey,TR,2019,FAIL,"['Kaan Ayhan', 'Yalçın Ayhan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 22. Ayhan",FALSE,Kaan Ayhan,Ayhan,multiple,Done
59,59,59,59,11795,729,789,"Euros 2020, Qualifiers",Turkey vs Moldova,25.03.19,Turkey,TR,2019,FAIL,"['Kaan Ayhan', 'Yalçın Ayhan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 22. Ayhan",FALSE,Kaan Ayhan,Ayhan,multiple,Done
60,60,60,60,11905,839,794,"Euros 2020, Qualifiers",Turkey vs France,08.06.19,Turkey,TR,2019,FAIL,"['Kaan Ayhan', 'Yalçın Ayhan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 22. Ayhan",FALSE,Kaan Ayhan,Ayhan,multiple,Done
61,61,61,61,11938,872,795,"Euros 2020, Qualifiers",Iceland vs Turkey,11.06.19,Turkey,TR,2019,FAIL,"['Kaan Ayhan', 'Yalçın Ayhan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 22. Ayhan",FALSE,Kaan Ayhan,Ayhan,multiple,Done
